Date,Open,Low,High,Close,Adj Close,Volume
2021-11-05,10.30,10.05,10.35,10.25,10.25,"109,300"
2021-11-04,10.15,10.25,10.45,10.30,10.30,"29,700"
2021-11-03,10.10,10.10,10.25,10.15,10.15,"116,700"
2021-11-02,10.10,10.00,10.40,10.10,10.10,"155,600"
2021-11-01,10.20,10.05,10.45,10.10,10.10,"117,500"
2021-10-31,10.20,10.20,10.45,10.20,10.20,"340,000"
2021-10-30,10.20,10.20,10.45,10.20,10.20,"340,000"
2021-10-29,10.20,10.20,10.45,10.20,10.20,"340,000"
2021-10-28,10.15,10.10,10.50,10.20,10.20,"45,100"
2021-10-27,10.10,10.05,10.50,10.15,10.15,"506,000"
2021-10-26,10.10,10.00,10.25,10.10,10.10,"118,100"
2021-10-25,10.05,10.00,10.50,10.10,10.10,"45,900"
2021-10-24,10.05,10.00,10.30,10.05,10.05,"130,600"
2021-10-23,10.05,10.00,10.30,10.05,10.05,"130,600"
2021-10-22,10.05,10.00,10.30,10.05,10.05,"130,600"
2021-10-21,10.20,10.00,10.30,10.05,10.05,"127,300"
2021-10-20,10.10,10.00,10.30,10.20,10.20,"324,300"
2021-10-19,10.10,10.00,10.30,10.20,10.20,"324,300"
2021-10-18,10.15,10.05,10.25,10.10,10.10,"25,100"
2021-10-17,10.25,10.05,10.25,10.15,10.15,"113,800"
2021-10-16,10.25,10.05,10.25,10.15,10.15,"113,800"
2021-10-15,10.25,10.05,10.25,10.15,10.15,"113,800"
2021-10-14,10.10,10.10,10.30,10.25,10.25,"645,900"
2021-10-13,10.15,10.05,10.25,10.10,10.10,"78,400"
2021-10-12,10.25,10.10,10.25,10.15,10.15,"458,700"
2021-10-11,10.25,10.00,10.50,10.25,10.25,"1,045,800"
2021-10-10,10.25,10.00,10.50,10.25,10.25,"1,045,800"
2021-10-09,10.25,10.00,10.50,10.25,10.25,"1,045,800"
2021-10-08,10.25,10.00,10.50,10.25,10.25,"1,045,800"
2021-10-07,10.30,10.05,10.50,10.25,10.25,"62,600"
2021-10-06,10.25,10.25,10.55,10.30,10.30,"578,000"
2021-10-05,10.40,10.20,10.50,10.25,10.25,"97,400"
2021-10-04,10.50,10.30,10.55,10.40,10.40,"52,100"
2021-10-03,10.55,10.30,10.60,10.50,10.50,"72,500"
2021-10-02,10.55,10.30,10.60,10.50,10.50,"72,500"
2021-10-01,10.55,10.30,10.60,10.50,10.50,"72,500"
2021-09-30,10.55,10.40,10.60,10.55,10.55,"97,900"
2021-09-29,10.55,10.45,10.60,10.55,10.55,"241,400"
2021-09-28,10.60,10.55,10.60,10.55,10.55,"50,200"
2021-09-27,10.55,10.55,10.65,10.60,10.60,"3,063,900"
2021-09-26,10.60,10.50,10.60,10.55,10.55,"79,400"
2021-09-25,10.60,10.50,10.60,10.55,10.55,"79,400"
2021-09-24,10.60,10.50,10.60,10.55,10.55,"79,400"
2021-09-23,10.50,10.45,10.70,10.60,10.60,"893,700"
2021-09-22,10.50,10.40,10.60,10.50,10.50,"50,400"
2021-09-21,10.35,10.40,10.60,10.50,10.50,"120,700"
2021-09-20,10.35,10.05,10.60,10.35,10.35,"268,100"
2021-09-19,10.45,10.30,10.65,10.35,10.35,"68,700"
2021-09-18,10.45,10.30,10.65,10.35,10.35,"68,700"
2021-09-17,10.45,10.30,10.65,10.35,10.35,"68,700"
2021-09-16,10.60,10.35,11.00,10.45,10.45,"132,100"
2021-09-15,10.60,10.35,11.35,10.60,10.60,"44,800"
2021-09-14,10.45,10.35,11.00,10.60,10.60,"4,115,900"
2021-09-13,10.40,10.30,10.55,10.45,10.45,"99,900"
2021-09-12,10.30,10.30,10.55,10.40,10.40,"67,400"
2021-09-11,10.30,10.30,10.55,10.40,10.40,"67,400"
2021-09-10,10.30,10.30,10.55,10.40,10.40,"67,400"
2021-09-09,10.30,10.30,10.50,10.30,10.30,"1,750,900"
2021-09-08,10.30,10.15,10.40,10.30,10.30,"581,200"
2021-09-07,10.40,10.00,10.40,10.30,10.30,"180,800"
2021-09-06,10.55,10.10,10.55,10.40,10.40,"61,100"
2021-09-05,10.50,10.50,10.60,10.55,10.55,"94,500"
2021-09-04,10.50,10.50,10.60,10.55,10.55,"94,500"
2021-09-03,10.50,10.50,10.60,10.55,10.55,"94,500"
2021-09-02,10.90,10.35,10.60,10.50,10.50,"77,100"
2021-09-01,10.95,10.50,11.00,10.90,10.90,"644,700"
2021-08-31,11.00,10.90,11.00,10.95,10.95,"285,300"
2021-08-30,11.00,10.95,11.10,11.00,11.00,"227,400"
2021-08-29,10.95,10.95,11.15,11.00,11.00,"647,300"
2021-08-28,10.95,10.95,11.15,11.00,11.00,"647,300"
2021-08-27,10.95,10.95,11.15,11.00,11.00,"647,300"
2021-08-26,10.55,10.55,11.00,10.95,10.95,"5,950,600"
2021-08-25,10.55,10.55,10.70,10.55,10.55,"613,400"
2021-08-24,10.30,10.35,10.70,10.55,10.55,"300,000"
2021-08-23,10.15,10.20,10.55,10.30,10.30,"2,686,000"
2021-08-22,10.25,10.10,10.25,10.15,10.15,"88,600"
2021-08-21,10.25,10.10,10.25,10.15,10.15,"88,600"
2021-08-20,10.25,10.10,10.25,10.15,10.15,"88,600"
2021-08-19,10.15,10.15,10.35,10.25,10.25,"20,100"
2021-08-18,10.00,10.10,10.35,10.15,10.15,"249,100"
2021-08-17,9.80,9.80,10.30,10.00,10.00,"647,000"
2021-08-16,9.78,9.70,10.00,9.80,9.80,"84,300"
2021-08-15,9.76,9.70,9.90,9.78,9.78,"76,300"
2021-08-14,9.76,9.70,9.90,9.78,9.78,"76,300"
2021-08-13,9.76,9.70,9.90,9.78,9.78,"76,300"
