Date,Open,Low,High,Close,Adj Close,Volume
2021-11-05,12.50,12.30,12.50,12.50,12.50,"1,073,900"
2021-11-04,12.50,12.30,12.70,12.50,12.50,"2,107,100"
2021-11-03,12.50,12.30,12.70,12.50,12.50,"173,800"
2021-11-02,12.65,12.45,12.70,12.50,12.50,"1,237,900"
2021-11-01,12.50,12.45,12.80,12.65,12.65,"55,600"
2021-10-31,12.50,12.45,12.60,12.50,12.50,"177,200"
2021-10-30,12.50,12.45,12.60,12.50,12.50,"177,200"
2021-10-29,12.50,12.45,12.60,12.50,12.50,"177,200"
2021-10-28,12.55,12.40,12.55,12.50,12.50,"106,000"
2021-10-27,12.55,12.50,12.60,12.55,12.55,"156,100"
2021-10-26,12.60,12.50,12.70,12.55,12.55,"180,800"
2021-10-25,12.75,12.50,12.80,12.60,12.60,"155,000"
2021-10-24,12.70,12.60,13.00,12.75,12.75,"113,300"
2021-10-23,12.70,12.60,13.00,12.75,12.75,"113,300"
2021-10-22,12.70,12.60,13.00,12.75,12.75,"113,300"
2021-10-21,12.75,12.60,12.80,12.70,12.70,"112,200"
2021-10-20,12.85,12.65,12.90,12.75,12.75,"144,200"
2021-10-19,12.85,12.65,12.90,12.75,12.75,"144,200"
2021-10-18,13.00,12.60,13.00,12.85,12.85,"2,556,700"
2021-10-17,13.05,12.50,13.05,13.00,13.00,"1,437,200"
2021-10-16,13.05,12.50,13.05,13.00,13.00,"1,437,200"
2021-10-15,13.05,12.50,13.05,13.00,13.00,"1,437,200"
2021-10-14,13.10,13.00,13.10,13.05,13.05,"70,200"
2021-10-13,13.10,13.00,13.20,13.10,13.10,"52,500"
2021-10-12,13.15,13.00,13.20,13.10,13.10,"55,300"
2021-10-11,13.20,13.00,13.35,13.15,13.15,"179,800"
2021-10-10,13.20,13.00,13.35,13.15,13.15,"179,800"
2021-10-09,13.20,13.00,13.35,13.15,13.15,"179,800"
2021-10-08,13.20,13.00,13.35,13.15,13.15,"179,800"
2021-10-07,13.30,13.15,13.35,13.20,13.20,"25,300"
2021-10-06,13.35,13.15,13.60,13.30,13.30,"47,600"
2021-10-05,13.45,13.20,13.50,13.35,13.35,"41,100"
2021-10-04,13.40,13.35,13.60,13.45,13.45,"46,800"
2021-10-03,13.35,13.30,14.00,13.40,13.40,"48,900"
2021-10-02,13.35,13.30,14.00,13.40,13.40,"48,900"
2021-10-01,13.35,13.30,14.00,13.40,13.40,"48,900"
2021-09-30,13.05,13.00,13.70,13.35,13.35,"111,900"
2021-09-29,13.10,13.00,13.25,13.05,13.05,"470,300"
2021-09-28,13.25,13.05,13.40,13.10,13.10,"116,600"
2021-09-27,13.20,13.00,13.45,13.25,13.25,"71,100"
2021-09-26,13.20,13.10,13.55,13.20,13.20,"42,200"
2021-09-25,13.20,13.10,13.55,13.20,13.20,"42,200"
2021-09-24,13.20,13.10,13.55,13.20,13.20,"42,200"
2021-09-23,13.55,13.00,13.50,13.20,13.20,"540,500"
2021-09-22,13.30,13.20,13.60,13.55,13.55,"2,816,900"
2021-09-21,13.25,13.20,13.50,13.30,13.30,"85,700"
2021-09-20,13.50,13.10,13.60,13.25,13.25,"140,700"
2021-09-19,13.10,13.20,13.60,13.50,13.50,"1,876,700"
2021-09-18,13.10,13.20,13.60,13.50,13.50,"1,876,700"
2021-09-17,13.10,13.20,13.60,13.50,13.50,"1,876,700"
2021-09-16,13.05,13.05,13.45,13.10,13.10,"225,700"
2021-09-15,13.35,13.00,13.50,13.05,13.05,"2,580,900"
2021-09-14,13.40,13.25,13.40,13.35,13.35,"521,400"
2021-09-13,13.40,13.30,13.50,13.40,13.40,"93,000"
2021-09-12,13.35,13.30,13.45,13.40,13.40,"191,900"
2021-09-11,13.35,13.30,13.45,13.40,13.40,"191,900"
2021-09-10,13.35,13.30,13.45,13.40,13.40,"191,900"
2021-09-09,13.45,13.30,13.45,13.35,13.35,"153,600"
2021-09-08,13.45,13.30,13.50,13.45,13.45,"109,900"
2021-09-07,13.55,13.40,13.50,13.45,13.45,"96,200"
2021-09-06,13.40,13.40,13.65,13.55,13.55,"190,700"
2021-09-05,13.45,13.00,13.60,13.40,13.40,"95,700"
2021-09-04,13.45,13.00,13.60,13.40,13.40,"95,700"
2021-09-03,13.45,13.00,13.60,13.40,13.40,"95,700"
2021-09-02,13.55,13.00,13.65,13.45,13.45,"102,000"
2021-09-01,13.65,13.50,13.75,13.55,13.55,"1,208,700"
2021-08-31,13.75,13.50,13.80,13.65,13.65,"424,900"
2021-08-30,13.80,13.70,13.90,13.75,13.75,"144,100"
