Date,Open,Low,High,Close,Adj Close,Volume
2021-11-05,50.00,49.80,52.00,49.90,49.90,"306,300"
2021-11-04,50.00,49.75,50.50,50.00,50.00,"3,235,100"
2021-11-03,50.00,49.60,50.50,50.00,50.00,"128,700"
2021-11-02,49.75,49.60,50.50,50.00,50.00,"3,730,700"
2021-11-01,49.70,49.50,49.90,49.75,49.75,"961,100"
2021-10-31,49.70,49.50,49.80,49.70,49.70,"173,100"
2021-10-30,49.70,49.50,49.80,49.70,49.70,"173,100"
2021-10-29,49.70,49.50,49.80,49.70,49.70,"173,100"
2021-10-28,49.90,49.50,49.90,49.70,49.70,"85,300"
2021-10-27,49.90,49.80,50.00,49.90,49.90,"1,866,600"
2021-10-26,49.50,49.75,50.50,49.90,49.90,"265,200"
2021-10-25,49.95,49.30,49.90,49.50,49.50,"732,400"
2021-10-24,49.50,49.60,50.00,49.95,49.95,"5,079,900"
2021-10-23,49.50,49.60,50.00,49.95,49.95,"5,079,900"
2021-10-22,49.50,49.60,50.00,49.95,49.95,"5,079,900"
2021-10-21,49.65,49.50,50.00,49.50,49.50,"5,302,100"
2021-10-20,49.85,49.35,50.50,49.65,49.65,"654,100"
2021-10-19,49.85,49.35,50.50,49.65,49.65,"654,100"
2021-10-18,49.50,49.00,50.00,49.85,49.85,"794,000"
2021-10-17,49.25,49.00,50.00,49.50,49.50,"5,142,900"
2021-10-16,49.25,49.00,50.00,49.50,49.50,"5,142,900"
2021-10-15,49.25,49.00,50.00,49.50,49.50,"5,142,900"
2021-10-14,49.15,49.00,49.35,49.25,49.25,"51,400"
2021-10-13,49.50,49.05,49.35,49.15,49.15,"18,000"
2021-10-12,49.35,49.00,50.00,49.50,49.50,"2,012,700"
2021-10-11,49.30,49.00,50.00,49.35,49.35,"358,700"
2021-10-10,49.30,49.00,50.00,49.35,49.35,"358,700"
2021-10-09,49.30,49.00,50.00,49.35,49.35,"358,700"
2021-10-08,49.30,49.00,50.00,49.35,49.35,"358,700"
2021-10-07,49.45,49.00,49.90,49.30,49.30,"81,200"
2021-10-06,49.90,49.30,50.00,49.45,49.45,"215,400"
2021-10-05,50.00,49.50,50.75,49.90,49.90,"756,500"
2021-10-04,50.50,49.95,51.00,50.00,50.00,"128,600"
2021-10-03,50.75,50.00,50.75,50.50,50.50,"453,700"
2021-10-02,50.75,50.00,50.75,50.50,50.50,"453,700"
2021-10-01,50.75,50.00,50.75,50.50,50.50,"453,700"
2021-09-30,50.75,50.00,50.75,50.75,50.75,"1,837,800"
2021-09-29,50.75,50.75,51.00,50.75,50.75,"304,100"
2021-09-28,50.50,50.50,51.00,50.75,50.75,"68,700"
2021-09-27,50.50,50.50,51.50,50.50,50.50,"126,200"
2021-09-26,50.75,50.25,51.00,50.50,50.50,"1,869,900"
2021-09-25,50.75,50.25,51.00,50.50,50.50,"1,869,900"
2021-09-24,50.75,50.25,51.00,50.50,50.50,"1,869,900"
2021-09-23,51.25,50.50,53.75,50.75,50.75,"3,167,500"
2021-09-22,51.75,50.00,52.00,51.25,51.25,"3,843,700"
2021-09-21,53.00,51.00,52.75,51.75,51.75,"122,100"
2021-09-20,53.25,52.50,53.75,53.00,53.00,"86,800"
2021-09-19,52.00,52.25,54.00,53.25,53.25,"1,554,000"
2021-09-18,52.00,52.25,54.00,53.25,53.25,"1,554,000"
2021-09-17,52.00,52.25,54.00,53.25,53.25,"1,554,000"
2021-09-16,51.00,51.00,52.25,52.00,52.00,"1,205,900"
2021-09-15,51.50,50.75,51.75,51.00,51.00,"400,000"
2021-09-14,52.00,51.00,51.75,51.50,51.50,"558,700"
2021-09-13,51.00,50.00,52.50,52.00,52.00,"3,312,200"
2021-09-12,49.85,51.00,51.50,51.00,51.00,"2,588,800"
2021-09-11,49.85,51.00,51.50,51.00,51.00,"2,588,800"
2021-09-10,49.85,51.00,51.50,51.00,51.00,"2,588,800"
2021-09-09,49.60,49.75,51.50,49.85,49.85,"2,164,700"
2021-09-08,49.05,49.15,50.00,49.60,49.60,"123,100"
2021-09-07,49.20,48.60,49.50,49.05,49.05,"2,193,700"
2021-09-06,49.90,49.00,50.00,49.20,49.20,"1,739,200"
2021-09-05,51.50,49.10,51.00,49.90,49.90,"286,800"
2021-09-04,51.50,49.10,51.00,49.90,49.90,"286,800"
2021-09-03,51.50,49.10,51.00,49.90,49.90,"286,800"
2021-09-02,52.50,51.50,52.50,51.50,51.50,"127,000"
2021-09-01,53.25,52.00,53.00,52.50,52.50,"515,700"
2021-08-31,54.00,52.50,54.00,53.25,53.25,"5,330,400"
2021-08-30,54.25,53.50,55.00,54.00,54.00,"1,547,900"
2021-08-29,54.00,53.50,54.50,54.25,54.25,"2,936,700"
2021-08-28,54.00,53.50,54.50,54.25,54.25,"2,936,700"
2021-08-27,54.00,53.50,54.50,54.25,54.25,"2,936,700"
2021-08-26,53.00,53.25,54.00,54.00,54.00,"2,646,800"
2021-08-25,53.00,52.50,53.25,53.00,53.00,"778,500"
2021-08-24,53.00,52.75,53.50,53.00,53.00,"1,715,000"
2021-08-23,52.50,52.50,53.50,53.00,53.00,"2,471,900"
2021-08-22,52.25,51.00,53.00,52.50,52.50,"2,362,400"
2021-08-21,52.25,51.00,53.00,52.50,52.50,"2,362,400"
2021-08-20,52.25,51.00,53.00,52.50,52.50,"2,362,400"
2021-08-19,54.00,51.00,53.75,52.25,52.25,"1,142,600"
2021-08-18,53.00,53.50,54.25,54.00,54.00,"3,858,700"
2021-08-17,51.00,52.00,53.50,53.00,53.00,"958,800"
2021-08-16,51.00,51.00,51.75,51.00,51.00,"181,900"
2021-08-15,50.25,50.50,51.50,51.00,51.00,"846,500"
2021-08-14,50.25,50.50,51.50,51.00,51.00,"846,500"
2021-08-13,50.25,50.50,51.50,51.00,51.00,"846,500"
