Date,Open,Low,High,Close,Adj Close,Volume
2021-11-05,3.81,3.80,4.00,3.82,3.82,"11,700"
2021-11-04,3.72,3.80,4.00,3.81,3.81,"5,700"
2021-11-03,3.80,3.72,3.95,3.72,3.72,"8,900"
2021-11-02,3.99,3.75,4.00,3.80,3.80,"7,700"
2021-11-01,3.81,3.79,4.10,3.99,3.99,"25,000"
2021-10-31,3.89,3.76,4.10,3.81,3.81,"14,000"
2021-10-30,3.89,3.76,4.10,3.81,3.81,"14,000"
2021-10-29,3.89,3.76,4.10,3.81,3.81,"14,000"
2021-10-28,3.75,3.80,4.00,3.89,3.89,"6,300"
2021-10-27,3.75,3.75,3.90,3.75,3.75,"39,100"
2021-10-26,3.69,3.70,3.90,3.75,3.75,"4,300"
2021-10-25,3.76,3.60,4.00,3.69,3.69,"95,600"
2021-10-24,3.85,3.75,3.80,3.76,3.76,"59,000"
2021-10-23,3.85,3.75,3.80,3.76,3.76,"59,000"
2021-10-22,3.85,3.75,3.80,3.76,3.76,"59,000"
2021-10-21,3.98,3.75,4.00,3.85,3.85,"9,700"
2021-10-20,3.72,3.77,4.02,3.98,3.98,"72,700"
2021-10-19,3.72,3.77,4.02,3.98,3.98,"72,700"
2021-10-18,3.71,3.72,3.72,3.72,3.72,"20,200"
2021-10-17,3.74,3.70,3.90,3.71,3.71,"20,800"
2021-10-16,3.74,3.70,3.90,3.71,3.71,"20,800"
2021-10-15,3.74,3.70,3.90,3.71,3.71,"20,800"
2021-10-14,3.77,3.70,3.90,3.74,3.74,"17,600"
2021-10-13,3.70,3.70,3.85,3.77,3.77,"15,400"
2021-10-12,3.69,3.70,3.70,3.70,3.70,"4,500"
2021-10-11,3.83,3.69,3.80,3.69,3.69,"7,300"
2021-10-10,3.83,3.69,3.80,3.69,3.69,"7,300"
2021-10-09,3.83,3.69,3.80,3.69,3.69,"7,300"
2021-10-08,3.83,3.69,3.80,3.69,3.69,"7,300"
2021-10-07,3.88,3.78,3.95,3.83,3.83,"3,900"
2021-10-06,3.84,3.84,3.99,3.88,3.88,"1,700"
