Date,Open,Low,High,Close,Adj Close,Volume
2021-11-05,43.50,43.35,44.00,43.50,43.50,"363,200"
2021-11-04,43.55,43.30,43.75,43.50,43.50,"260,500"
2021-11-03,43.85,43.10,43.75,43.55,43.55,"64,200"
2021-11-02,43.95,43.50,43.90,43.85,43.85,"1,062,900"
2021-11-01,43.95,43.75,44.00,43.95,43.95,"606,900"
2021-10-31,44.00,43.70,44.00,43.95,43.95,"582,900"
2021-10-30,44.00,43.70,44.00,43.95,43.95,"582,900"
2021-10-29,44.00,43.70,44.00,43.95,43.95,"582,900"
2021-10-28,44.00,43.60,44.20,44.00,44.00,"218,500"
2021-10-27,43.95,43.50,44.00,44.00,44.00,"2,958,800"
2021-10-26,44.00,43.40,44.20,43.95,43.95,"4,907,400"
2021-10-25,44.20,43.50,44.50,44.00,44.00,"278,400"
2021-10-24,44.45,43.50,44.50,44.20,44.20,"132,700"
2021-10-23,44.45,43.50,44.50,44.20,44.20,"132,700"
2021-10-22,44.45,43.50,44.50,44.20,44.20,"132,700"
2021-10-21,44.60,43.20,44.60,44.45,44.45,"4,013,500"
2021-10-20,44.80,44.00,45.00,44.60,44.60,"584,600"
2021-10-19,44.80,44.00,45.00,44.60,44.60,"584,600"
2021-10-18,45.10,44.00,44.90,44.80,44.80,"203,600"
2021-10-17,45.05,43.55,46.00,45.10,45.10,"2,715,700"
2021-10-16,45.05,43.55,46.00,45.10,45.10,"2,715,700"
2021-10-15,45.05,43.55,46.00,45.10,45.10,"2,715,700"
2021-10-14,45.40,42.20,45.40,45.05,45.05,"681,500"
2021-10-13,45.80,45.30,46.00,45.40,45.40,"135,200"
2021-10-12,46.10,45.25,46.00,45.80,45.80,"1,970,400"
2021-10-11,45.90,45.60,46.40,46.10,46.10,"767,400"
2021-10-10,45.90,45.60,46.40,46.10,46.10,"767,400"
2021-10-09,45.90,45.60,46.40,46.10,46.10,"767,400"
2021-10-08,45.90,45.60,46.40,46.10,46.10,"767,400"
2021-10-07,45.50,45.65,46.25,45.90,45.90,"2,528,200"
2021-10-06,45.20,45.20,45.95,45.50,45.50,"3,901,000"
2021-10-05,46.60,45.00,46.30,45.20,45.20,"700,500"
2021-10-04,46.75,45.05,46.85,46.60,46.60,"268,700"
2021-10-03,46.75,46.65,46.85,46.75,46.75,"51,000"
2021-10-02,46.75,46.65,46.85,46.75,46.75,"51,000"
2021-10-01,46.75,46.65,46.85,46.75,46.75,"51,000"
2021-09-30,46.70,46.70,46.90,46.75,46.75,"42,000"
2021-09-29,46.90,46.55,47.00,46.70,46.70,"206,100"
2021-09-28,47.00,46.60,47.00,46.90,46.90,"88,600"
2021-09-27,47.10,46.55,47.50,47.00,47.00,"550,500"
2021-09-26,47.20,46.50,47.85,47.10,47.10,"3,106,900"
2021-09-25,47.20,46.50,47.85,47.10,47.10,"3,106,900"
2021-09-24,47.20,46.50,47.85,47.10,47.10,"3,106,900"
2021-09-23,47.05,47.05,47.95,47.20,47.20,"2,714,500"
2021-09-22,47.95,47.00,47.85,47.05,47.05,"4,419,900"
2021-09-21,48.35,47.55,48.50,47.95,47.95,"361,100"
2021-09-20,48.55,47.50,48.95,48.35,48.35,"710,200"
2021-09-19,46.95,47.00,49.00,48.55,48.55,"1,437,000"
2021-09-18,46.95,47.00,49.00,48.55,48.55,"1,437,000"
2021-09-17,46.95,47.00,49.00,48.55,48.55,"1,437,000"
2021-09-16,46.85,46.80,47.50,46.95,46.95,"267,700"
2021-09-15,46.75,46.70,47.50,46.85,46.85,"848,400"
2021-09-14,46.80,46.60,47.00,46.75,46.75,"2,084,500"
2021-09-13,46.60,46.40,47.00,46.80,46.80,"522,800"
2021-09-12,46.30,46.30,47.00,46.60,46.60,"885,800"
2021-09-11,46.30,46.30,47.00,46.60,46.60,"885,800"
2021-09-10,46.30,46.30,47.00,46.60,46.60,"885,800"
2021-09-09,46.30,46.00,46.80,46.30,46.30,"1,308,700"
2021-09-08,46.35,46.20,46.50,46.30,46.30,"1,091,000"
2021-09-07,46.25,46.20,46.75,46.35,46.35,"226,800"
2021-09-06,46.80,46.00,47.00,46.25,46.25,"183,500"
2021-09-05,47.15,46.00,47.15,46.80,46.80,"1,129,400"
2021-09-04,47.15,46.00,47.15,46.80,46.80,"1,129,400"
2021-09-03,47.15,46.00,47.15,46.80,46.80,"1,129,400"
2021-09-02,48.00,46.65,48.00,47.15,47.15,"418,700"
2021-09-01,48.50,47.65,48.35,48.00,48.00,"1,698,400"
2021-08-31,48.65,47.95,48.65,48.50,48.50,"2,151,100"
2021-08-30,48.55,48.25,49.00,48.65,48.65,"63,800"
2021-08-29,48.30,48.25,48.80,48.55,48.55,"714,400"
2021-08-28,48.30,48.25,48.80,48.55,48.55,"714,400"
2021-08-27,48.30,48.25,48.80,48.55,48.55,"714,400"
2021-08-26,48.25,48.25,48.50,48.30,48.30,"775,300"
2021-08-25,48.15,48.10,48.50,48.25,48.25,"336,900"
2021-08-24,48.00,48.00,48.70,48.15,48.15,"111,000"
2021-08-23,47.95,47.70,48.85,48.00,48.00,"1,049,400"
2021-08-22,48.15,47.10,48.90,47.95,47.95,"1,749,000"
2021-08-21,48.15,47.10,48.90,47.95,47.95,"1,749,000"
2021-08-20,48.15,47.10,48.90,47.95,47.95,"1,749,000"
2021-08-19,49.70,47.10,49.50,48.15,48.15,"501,700"
2021-08-18,49.90,48.90,50.25,49.70,49.70,"540,700"
2021-08-17,48.10,48.60,50.75,49.90,49.90,"1,081,700"
2021-08-16,47.15,47.20,48.60,48.10,48.10,"1,088,700"
2021-08-15,46.90,46.80,48.00,47.15,47.15,"915,400"
2021-08-14,46.90,46.80,48.00,47.15,47.15,"915,400"
2021-08-13,46.90,46.80,48.00,47.15,47.15,"915,400"
2021-08-12,46.60,46.65,47.20,46.90,46.90,"1,016,700"
2021-08-11,46.45,46.50,46.75,46.60,46.60,"1,027,000"
2021-08-10,46.60,46.20,46.65,46.45,46.45,"123,500"
2021-08-09,46.75,46.40,46.80,46.60,46.60,"1,406,500"
2021-08-08,46.45,46.35,46.80,46.75,46.75,"1,009,100"
2021-08-07,46.45,46.35,46.80,46.75,46.75,"1,009,100"
2021-08-06,46.45,46.35,46.80,46.75,46.75,"1,009,100"
2021-08-05,46.20,46.10,46.50,46.45,46.45,"366,300"
2021-08-04,45.95,46.00,46.25,46.20,46.20,"156,300"
2021-08-03,45.70,45.60,46.25,45.95,45.95,"1,162,500"
2021-08-02,45.70,45.60,45.95,45.70,45.70,"126,300"
2021-08-01,45.60,45.35,46.00,45.70,45.70,"1,523,000"
2021-07-31,45.60,45.35,46.00,45.70,45.70,"1,523,000"
2021-07-30,45.60,45.35,46.00,45.70,45.70,"1,523,000"
2021-07-29,45.35,45.05,45.85,45.60,45.60,"1,882,400"
2021-07-28,45.00,44.80,46.00,45.35,45.35,"464,900"
2021-07-27,44.80,44.75,45.15,45.00,45.00,"1,537,300"
2021-07-26,44.55,44.75,44.95,44.80,44.80,"238,700"
2021-07-25,44.75,44.50,44.90,44.55,44.55,"476,900"
2021-07-24,44.75,44.50,44.90,44.55,44.55,"476,900"
2021-07-23,44.75,44.50,44.90,44.55,44.55,"476,900"
2021-07-22,44.75,44.70,44.85,44.75,44.75,"98,600"
2021-07-21,44.75,44.70,45.00,44.75,44.75,"1,884,100"
2021-07-20,44.85,44.60,45.00,44.75,44.75,"137,600"
2021-07-19,44.85,44.60,45.00,44.75,44.75,"137,600"
2021-07-18,44.95,44.70,45.00,44.85,44.85,"52,700"
2021-07-17,44.95,44.70,45.00,44.85,44.85,"52,700"
2021-07-16,44.95,44.70,45.00,44.85,44.85,"52,700"
2021-07-15,44.60,44.50,45.05,44.95,44.95,"378,400"
2021-07-14,44.75,44.30,44.85,44.60,44.60,"199,400"
2021-07-13,44.75,44.00,45.00,44.75,44.75,"1,518,300"
2021-07-12,45.50,42.70,46.00,44.75,44.75,"328,900"
2021-07-11,45.50,45.10,47.00,45.50,45.50,"1,263,400"
2021-07-10,45.50,45.10,47.00,45.50,45.50,"1,263,400"
2021-07-09,45.50,45.10,47.00,45.50,45.50,"1,263,400"
2021-07-08,43.80,43.80,46.50,45.50,45.50,"1,649,300"
2021-07-07,42.95,42.70,44.35,43.80,43.80,"145,700"
2021-07-06,42.70,42.60,43.35,42.95,42.95,"90,400"
2021-07-05,42.50,42.60,43.00,42.70,42.70,"51,000"
2021-07-04,42.50,42.15,42.95,42.50,42.50,"1,917,400"
2021-07-03,42.50,42.15,42.95,42.50,42.50,"1,917,400"
2021-07-02,42.50,42.15,42.95,42.50,42.50,"1,917,400"
2021-07-01,42.65,42.00,42.90,42.50,42.50,"1,257,700"
2021-06-30,43.60,42.00,43.50,42.65,42.65,"349,900"
2021-06-29,44.00,43.40,44.35,43.60,43.60,"217,400"
2021-06-28,43.85,43.35,44.35,44.00,44.00,"175,700"
2021-06-27,43.65,43.55,44.25,43.85,43.85,"1,749,300"
2021-06-26,43.65,43.55,44.25,43.85,43.85,"1,749,300"
2021-06-25,43.65,43.55,44.25,43.85,43.85,"1,749,300"
2021-06-24,43.35,43.30,43.95,43.65,43.65,"1,956,600"
2021-06-23,43.25,43.35,44.25,43.35,43.35,"1,385,100"
2021-06-22,43.00,43.00,44.00,43.25,43.25,"3,252,900"
2021-06-21,42.55,42.40,43.30,43.00,43.00,"2,222,800"
2021-06-20,42.55,42.50,42.80,42.55,42.55,"359,600"
2021-06-19,42.55,42.50,42.80,42.55,42.55,"359,600"
2021-06-18,42.55,42.50,42.80,42.55,42.55,"359,600"
2021-06-17,42.50,42.50,42.80,42.55,42.55,"153,500"
2021-06-16,42.40,42.40,42.75,42.50,42.50,"394,800"
2021-06-15,42.40,42.00,42.60,42.40,42.40,"510,100"
2021-06-14,42.60,42.00,42.85,42.40,42.40,"230,600"
2021-06-13,42.85,42.30,43.00,42.60,42.60,"263,900"
2021-06-12,42.85,42.30,43.00,42.60,42.60,"263,900"
2021-06-11,42.85,42.30,43.00,42.60,42.60,"263,900"
2021-06-10,42.95,42.70,43.00,42.85,42.85,"438,400"
2021-06-09,42.50,42.60,43.50,42.95,42.95,"473,200"
2021-06-08,42.25,42.25,43.00,42.50,42.50,"866,000"
2021-06-07,42.25,42.10,43.00,42.25,42.25,"332,200"
2021-06-06,42.00,41.80,42.95,42.25,42.25,"665,200"
2021-06-05,42.00,41.80,42.95,42.25,42.25,"665,200"
2021-06-04,42.00,41.80,42.95,42.25,42.25,"665,200"
2021-06-03,42.00,41.90,42.70,42.00,42.00,"1,233,200"
2021-06-02,42.30,40.65,43.00,42.00,42.00,"1,375,700"
2021-06-01,42.40,41.90,42.50,42.30,42.30,"165,000"
2021-05-31,42.40,41.90,42.50,42.30,42.30,"165,000"
2021-05-30,42.00,41.90,43.00,42.40,42.40,"1,774,400"
2021-05-29,42.00,41.90,43.00,42.40,42.40,"1,774,400"
2021-05-28,42.00,41.90,43.00,42.40,42.40,"1,774,400"
2021-05-27,43.00,41.95,43.15,42.00,42.00,"8,340,800"
2021-05-26,42.25,42.20,43.25,43.00,43.00,"2,872,500"
2021-05-25,41.85,42.00,42.45,42.25,42.25,"2,357,000"
2021-05-24,41.00,40.65,42.40,41.85,41.85,"406,100"
2021-05-23,40.55,40.60,41.50,41.00,41.00,"243,600"
2021-05-22,40.55,40.60,41.50,41.00,41.00,"243,600"
2021-05-21,40.55,40.60,41.50,41.00,41.00,"243,600"
2021-05-20,40.25,40.25,40.90,40.55,40.55,"439,100"
2021-05-19,41.05,40.10,41.20,40.25,40.25,"324,000"
2021-05-18,41.00,40.00,41.30,41.05,41.05,"1,439,400"
2021-05-17,41.95,40.50,42.00,41.00,41.00,"961,400"
2021-05-16,41.75,41.50,42.00,41.95,41.95,"3,428,500"
2021-05-15,41.75,41.50,42.00,41.95,41.95,"3,428,500"
2021-05-14,41.75,41.50,42.00,41.95,41.95,"3,428,500"
2021-05-13,41.75,41.50,42.00,41.95,41.95,"3,428,500"
2021-05-12,42.45,41.50,42.50,41.75,41.75,"2,055,400"
2021-05-11,42.40,41.95,42.50,42.45,42.45,"2,468,500"
2021-05-10,41.95,41.55,42.80,42.40,42.40,"13,934,900"
2021-05-09,41.50,41.50,42.20,41.95,41.95,"3,221,300"
2021-05-08,41.50,41.50,42.20,41.95,41.95,"3,221,300"
2021-05-07,41.50,41.50,42.20,41.95,41.95,"3,221,300"
2021-05-06,40.40,40.65,42.00,41.50,41.50,"2,180,600"
2021-05-05,40.05,40.00,40.55,40.40,40.40,"838,100"
2021-05-04,40.05,40.00,40.40,40.05,40.05,"684,400"
2021-05-03,40.25,39.95,40.40,40.05,40.05,"55,400"
2021-05-02,40.20,40.00,40.95,40.25,40.25,"77,200"
2021-05-01,40.20,40.00,40.95,40.25,40.25,"77,200"
2021-04-30,40.20,40.00,40.95,40.25,40.25,"77,200"
2021-04-29,39.95,40.00,40.45,40.20,40.20,"94,300"
2021-04-28,39.70,39.50,41.00,39.95,39.95,"204,900"
2021-04-27,41.80,39.50,41.00,39.70,39.70,"1,053,400"
2021-04-26,41.60,41.55,42.00,41.80,41.80,"1,104,500"
2021-04-25,41.60,41.55,42.00,41.60,41.60,"549,200"
2021-04-24,41.60,41.55,42.00,41.60,41.60,"549,200"
2021-04-23,41.60,41.55,42.00,41.60,41.60,"549,200"
2021-04-22,42.30,41.35,42.00,41.60,41.60,"672,200"
2021-04-21,42.05,41.60,42.35,42.30,42.30,"4,467,400"
2021-04-20,41.50,41.60,42.20,42.05,42.05,"2,750,900"
2021-04-19,42.00,41.40,41.95,41.50,41.50,"130,100"
2021-04-18,41.85,41.55,42.40,42.00,42.00,"1,079,700"
2021-04-17,41.85,41.55,42.40,42.00,42.00,"1,079,700"
2021-04-16,41.85,41.55,42.40,42.00,42.00,"1,079,700"
2021-04-15,41.35,41.50,42.40,41.85,41.85,"467,500"
2021-04-14,40.90,40.50,41.50,41.35,41.35,"1,492,900"
2021-04-13,40.65,40.70,41.25,40.90,40.90,"764,500"
2021-04-12,40.00,40.00,41.00,40.65,40.65,"690,100"
2021-04-11,39.80,39.85,40.50,40.00,40.00,"3,175,100"
2021-04-10,39.80,39.85,40.50,40.00,40.00,"3,175,100"
2021-04-09,39.80,39.85,40.50,40.00,40.00,"3,175,100"
2021-04-08,39.85,39.00,40.00,39.80,39.80,"186,200"
2021-04-07,40.15,39.00,40.00,39.85,39.85,"95,200"
2021-04-06,41.10,39.70,41.00,40.15,40.15,"115,100"
2021-04-05,41.30,40.55,41.40,41.10,41.10,"737,200"
2021-04-04,41.30,40.55,41.40,41.10,41.10,"737,200"
2021-04-03,41.30,40.55,41.40,41.10,41.10,"737,200"
2021-04-02,41.30,40.55,41.40,41.10,41.10,"737,200"
2021-04-01,41.30,40.55,41.40,41.10,41.10,"737,200"
2021-03-31,40.35,40.00,41.50,41.30,41.30,"2,002,700"
2021-03-30,39.40,39.80,41.00,40.35,40.35,"565,900"
2021-03-29,41.10,38.00,40.00,39.40,39.40,"920,300"
2021-03-28,42.00,41.00,41.75,41.10,41.10,"373,800"
2021-03-27,42.00,41.00,41.75,41.10,41.10,"373,800"
2021-03-26,42.00,41.00,41.75,41.10,41.10,"373,800"
2021-03-25,41.85,41.70,42.50,42.00,42.00,"2,575,200"
2021-03-24,41.20,41.05,42.50,41.85,41.85,"2,075,800"
2021-03-23,40.90,41.00,41.90,41.20,41.20,"866,100"
2021-03-22,41.35,40.50,41.85,40.90,40.90,"445,500"
2021-03-21,40.85,40.50,41.90,41.35,41.35,"438,000"
2021-03-20,40.85,40.50,41.90,41.35,41.35,"438,000"
2021-03-19,40.85,40.50,41.90,41.35,41.35,"438,000"
2021-03-18,40.10,40.05,41.95,40.85,40.85,"989,000"
2021-03-17,39.95,40.00,40.25,40.10,40.10,"307,200"
2021-03-16,39.65,39.60,40.50,39.95,39.95,"2,047,900"
2021-03-15,39.95,39.55,40.00,39.65,39.65,"63,200"
2021-03-14,39.25,39.35,40.00,39.95,39.95,"911,100"
2021-03-13,39.25,39.35,40.00,39.95,39.95,"911,100"
2021-03-12,39.25,39.35,40.00,39.95,39.95,"911,100"
2021-03-11,39.15,38.90,39.40,39.25,39.25,"98,000"
2021-03-10,38.90,38.80,39.50,39.15,39.15,"4,448,400"
2021-03-09,38.15,37.50,39.00,38.90,38.90,"1,756,100"
2021-03-08,38.20,37.55,38.35,38.15,38.15,"2,967,600"
2021-03-07,37.95,37.55,38.40,38.20,38.20,"278,800"
2021-03-06,37.95,37.55,38.40,38.20,38.20,"278,800"
2021-03-05,37.95,37.55,38.40,38.20,38.20,"278,800"
2021-03-04,38.35,37.80,38.70,37.95,37.95,"182,900"
2021-03-03,38.70,38.05,39.45,38.35,38.35,"1,127,600"
2021-03-02,38.80,38.25,39.00,38.70,38.70,"880,400"
2021-03-01,38.75,38.10,39.45,38.80,38.80,"93,500"
2021-02-28,38.10,38.00,39.00,38.75,38.75,"564,000"
2021-02-27,38.10,38.00,39.00,38.75,38.75,"564,000"
2021-02-26,38.10,38.00,39.00,38.75,38.75,"564,000"
2021-02-25,38.40,37.70,38.75,38.10,38.10,"2,405,400"
2021-02-24,38.75,38.00,38.75,38.40,38.40,"1,478,200"
2021-02-23,39.30,38.50,39.00,38.75,38.75,"1,318,500"
2021-02-22,39.50,39.00,39.75,39.30,39.30,"90,000"
2021-02-21,39.00,39.00,39.75,39.50,39.50,"545,600"
2021-02-20,39.00,39.00,39.75,39.50,39.50,"545,600"
2021-02-19,39.00,39.00,39.75,39.50,39.50,"545,600"
2021-02-18,38.85,38.80,39.20,39.00,39.00,"1,136,300"
2021-02-17,38.60,38.55,39.20,38.85,38.85,"3,171,100"
2021-02-16,38.05,38.15,38.95,38.60,38.60,"2,863,300"
2021-02-15,38.00,37.95,38.50,38.05,38.05,"132,300"
2021-02-14,37.75,37.55,38.10,38.00,38.00,"2,705,400"
2021-02-13,37.75,37.55,38.10,38.00,38.00,"2,705,400"
2021-02-12,37.75,37.55,38.10,38.00,38.00,"2,705,400"
2021-02-11,37.50,37.50,37.90,37.75,37.75,"45,400"
2021-02-10,37.50,37.40,37.85,37.50,37.50,"394,700"
2021-02-09,37.45,37.30,37.70,37.50,37.50,"2,497,300"
2021-02-08,37.05,37.05,37.50,37.45,37.45,"1,480,700"
2021-02-07,36.50,36.60,37.45,37.05,37.05,"4,408,000"
2021-02-06,36.50,36.60,37.45,37.05,37.05,"4,408,000"
2021-02-05,36.50,36.60,37.45,37.05,37.05,"4,408,000"
2021-02-04,36.40,36.40,37.00,36.50,36.50,"4,902,200"
2021-02-03,35.70,36.00,36.50,36.40,36.40,"5,015,000"
2021-02-02,35.75,35.60,36.95,35.70,35.70,"3,247,700"
2021-02-01,35.85,35.55,36.05,35.75,35.75,"1,209,100"
2021-01-31,35.90,35.75,35.95,35.85,35.85,"3,843,900"
2021-01-30,35.90,35.75,35.95,35.85,35.85,"3,843,900"
2021-01-29,35.90,35.75,35.95,35.85,35.85,"3,843,900"
2021-01-28,35.90,35.80,36.00,35.90,35.90,"193,900"
2021-01-27,35.95,35.85,36.00,35.90,35.90,"276,700"
2021-01-26,35.95,35.90,36.00,35.95,35.95,"116,900"
2021-01-25,36.00,35.80,36.00,35.95,35.95,"1,385,000"
2021-01-24,36.40,36.00,36.50,36.00,36.00,"2,299,700"
2021-01-23,36.40,36.00,36.50,36.00,36.00,"2,299,700"
2021-01-22,36.40,36.00,36.50,36.00,36.00,"2,299,700"
2021-01-21,35.75,35.50,37.00,36.40,36.40,"5,453,100"
2021-01-20,35.95,35.50,36.80,35.75,35.75,"5,962,100"
2021-01-19,36.55,35.80,36.50,35.95,35.95,"1,350,800"
2021-01-18,36.90,36.45,37.00,36.55,36.55,"246,700"
2021-01-17,37.20,36.85,37.25,36.90,36.90,"793,100"
2021-01-16,37.20,36.85,37.25,36.90,36.90,"793,100"
2021-01-15,37.20,36.85,37.25,36.90,36.90,"793,100"
2021-01-14,37.90,36.80,37.80,37.20,37.20,"797,800"
