Date,Open,Low,High,Close,Adj Close,Volume
2021-11-05,4.12,4.12,4.12,4.12,4.12,-
2021-11-04,4.12,4.12,4.12,4.12,4.12,-
2021-11-03,4.12,4.12,4.12,4.12,4.12,-
2021-11-02,4.12,4.12,4.12,4.12,4.12,-
2021-11-01,4.12,4.12,4.12,4.12,4.12,-
2021-10-31,4.12,4.12,4.12,4.12,4.12,-
2021-10-30,4.12,4.12,4.12,4.12,4.12,-
2021-10-29,4.12,4.12,4.12,4.12,4.12,-
2021-10-28,4.12,4.12,4.12,4.12,4.12,-
2021-10-27,4.12,4.12,4.12,4.12,4.12,-
2021-10-26,4.12,4.12,4.12,4.12,4.12,-
2021-10-25,4.12,4.12,4.12,4.12,4.12,-
2021-10-24,4.12,4.12,4.12,4.12,4.12,-
2021-10-23,4.12,4.12,4.12,4.12,4.12,-
2021-10-22,4.12,4.12,4.12,4.12,4.12,-
2021-10-21,4.12,4.12,4.12,4.12,4.12,-
2021-10-20,4.12,4.12,4.12,4.12,4.12,-
2021-10-19,4.12,4.12,4.12,4.12,4.12,-
2021-10-18,4.12,4.12,4.12,4.12,4.12,-
2021-10-17,4.12,4.12,4.12,4.12,4.12,-
2021-10-16,4.12,4.12,4.12,4.12,4.12,-
2021-10-15,4.12,4.12,4.12,4.12,4.12,-
2021-10-14,4.12,4.12,4.12,4.12,4.12,-
2021-10-13,4.12,4.12,4.12,4.12,4.12,-
2021-10-12,4.12,4.12,4.12,4.12,4.12,-
2021-10-11,4.12,4.12,4.12,4.12,4.12,-
2021-10-10,4.12,4.12,4.12,4.12,4.12,-
2021-10-09,4.12,4.12,4.12,4.12,4.12,-
2021-10-08,4.12,4.12,4.12,4.12,4.12,-
2021-10-07,4.12,4.12,4.12,4.12,4.12,-
2021-10-06,4.12,4.12,4.12,4.12,4.12,-
2021-10-05,4.12,4.12,4.12,4.12,4.12,-
2021-10-04,4.12,4.12,4.12,4.12,4.12,-
