Date,Open,Low,High,Close,Adj Close,Volume
2021-11-05,24.45,24.00,24.50,24.10,24.10,"22,800"
2021-11-04,24.50,24.10,24.80,24.45,24.45,"52,900"
2021-11-03,24.10,24.20,24.75,24.50,24.50,"33,900"
2021-11-02,24.10,24.00,24.80,24.10,24.10,"105,900"
2021-11-01,24.10,24.00,24.80,24.10,24.10,"128,800"
2021-10-31,24.40,24.00,24.80,24.10,24.10,"25,300"
2021-10-30,24.40,24.00,24.80,24.10,24.10,"25,300"
2021-10-29,24.40,24.00,24.80,24.10,24.10,"25,300"
2021-10-28,24.55,24.05,24.60,24.40,24.40,"37,900"
2021-10-27,24.65,24.00,25.00,24.55,24.55,"157,600"
2021-10-26,24.85,24.50,24.80,24.65,24.65,"116,200"
2021-10-25,25.00,24.80,25.00,24.85,24.85,"22,900"
2021-10-24,25.10,25.00,25.10,25.00,25.00,"28,700"
2021-10-23,25.10,25.00,25.10,25.00,25.00,"28,700"
2021-10-22,25.10,25.00,25.10,25.00,25.00,"28,700"
2021-10-21,25.10,25.00,25.50,25.10,25.10,"14,100"
2021-10-20,25.55,24.50,25.55,25.10,25.10,"34,500"
2021-10-19,25.55,24.50,25.55,25.10,25.10,"34,500"
2021-10-18,25.75,25.50,25.80,25.55,25.55,"26,100"
2021-10-17,25.70,25.50,26.00,25.75,25.75,"214,200"
2021-10-16,25.70,25.50,26.00,25.75,25.75,"214,200"
2021-10-15,25.70,25.50,26.00,25.75,25.75,"214,200"
2021-10-14,25.35,25.50,26.00,25.70,25.70,"6,400"
2021-10-13,25.05,25.00,26.00,25.35,25.35,"22,000"
2021-10-12,25.25,24.90,26.00,25.05,25.05,"59,300"
2021-10-11,25.20,25.00,25.75,25.25,25.25,"49,600"
2021-10-10,25.20,25.00,25.75,25.25,25.25,"49,600"
2021-10-09,25.20,25.00,25.75,25.25,25.25,"49,600"
2021-10-08,25.20,25.00,25.75,25.25,25.25,"49,600"
2021-10-07,25.55,25.00,25.55,25.20,25.20,"71,300"
2021-10-06,25.75,25.30,25.70,25.55,25.55,"14,500"
2021-10-05,25.95,25.25,26.00,25.75,25.75,"36,600"
2021-10-04,26.00,25.75,26.40,25.95,25.95,"13,200"
2021-10-03,26.00,25.95,26.00,26.00,26.00,"35,400"
2021-10-02,26.00,25.95,26.00,26.00,26.00,"35,400"
2021-10-01,26.00,25.95,26.00,26.00,26.00,"35,400"
2021-09-30,25.75,25.60,26.75,26.00,26.00,"81,300"
2021-09-29,26.70,25.00,26.75,25.75,25.75,"100,200"
2021-09-28,27.40,26.05,27.40,26.70,26.70,"182,200"
2021-09-27,27.05,27.00,27.90,27.40,27.40,"15,800"
2021-09-26,28.00,27.00,28.00,27.05,27.05,"554,400"
2021-09-25,28.00,27.00,28.00,27.05,27.05,"554,400"
2021-09-24,28.00,27.00,28.00,27.05,27.05,"554,400"
2021-09-23,27.85,27.80,28.00,28.00,28.00,"263,000"
2021-09-22,26.95,27.80,27.95,27.85,27.85,"42,300"
2021-09-21,27.85,26.00,28.00,26.95,26.95,"30,300"
2021-09-20,27.65,27.80,27.95,27.85,27.85,"25,800"
2021-09-19,27.65,27.65,27.95,27.65,27.65,"479,300"
2021-09-18,27.65,27.65,27.95,27.65,27.65,"479,300"
2021-09-17,27.65,27.65,27.95,27.65,27.65,"479,300"
2021-09-16,27.75,27.50,27.90,27.65,27.65,"60,900"
2021-09-15,28.00,27.60,28.00,27.75,27.75,"11,900"
2021-09-14,28.00,28.00,28.10,28.00,28.00,"26,500"
2021-09-13,27.65,27.65,28.20,28.00,28.00,"42,500"
2021-09-12,27.65,27.50,27.95,27.65,27.65,"21,500"
2021-09-11,27.65,27.50,27.95,27.65,27.65,"21,500"
2021-09-10,27.65,27.50,27.95,27.65,27.65,"21,500"
2021-09-09,27.40,27.50,27.95,27.65,27.65,"139,600"
2021-09-08,27.10,27.10,27.90,27.40,27.40,"69,700"
2021-09-07,27.05,27.00,27.20,27.10,27.10,"30,100"
2021-09-06,27.20,27.00,27.85,27.05,27.05,"116,500"
2021-09-05,27.95,27.00,27.90,27.20,27.20,"244,200"
2021-09-04,27.95,27.00,27.90,27.20,27.20,"244,200"
2021-09-03,27.95,27.00,27.90,27.20,27.20,"244,200"
2021-09-02,28.05,27.85,28.00,27.95,27.95,"27,500"
2021-09-01,28.15,27.85,28.40,28.05,28.05,"130,900"
2021-08-31,27.60,27.90,29.00,28.15,28.15,"193,000"
2021-08-30,26.45,26.90,28.00,27.60,27.60,"155,500"
2021-08-29,26.80,26.25,26.90,26.45,26.45,"69,000"
2021-08-28,26.80,26.25,26.90,26.45,26.45,"69,000"
2021-08-27,26.80,26.25,26.90,26.45,26.45,"69,000"
2021-08-26,26.60,26.50,27.00,26.80,26.80,"42,900"
2021-08-25,27.15,26.50,27.00,26.60,26.60,"31,400"
2021-08-24,26.95,26.70,27.20,27.15,27.15,"41,900"
2021-08-23,27.10,26.55,27.45,26.95,26.95,"129,200"
2021-08-22,27.05,27.00,27.50,27.10,27.10,"7,100"
2021-08-21,27.05,27.00,27.50,27.10,27.10,"7,100"
2021-08-20,27.05,27.00,27.50,27.10,27.10,"7,100"
2021-08-19,26.15,26.80,27.50,27.05,27.05,"59,900"
2021-08-18,25.40,25.60,27.00,26.15,26.15,"75,800"
2021-08-17,25.30,25.40,26.00,25.40,25.40,"394,000"
2021-08-16,25.40,25.05,25.50,25.30,25.30,"79,900"
2021-08-15,25.10,25.00,26.20,25.40,25.40,"73,300"
2021-08-14,25.10,25.00,26.20,25.40,25.40,"73,300"
2021-08-13,25.10,25.00,26.20,25.40,25.40,"73,300"
2021-08-12,25.45,25.00,25.50,25.10,25.10,"61,300"
2021-08-11,25.50,25.00,26.00,25.45,25.45,"163,300"
2021-08-10,25.85,25.40,25.85,25.50,25.50,"318,700"
2021-08-09,26.20,25.60,26.20,25.85,25.85,"44,200"
2021-08-08,26.20,25.55,26.55,26.20,26.20,"29,400"
2021-08-07,26.20,25.55,26.55,26.20,26.20,"29,400"
2021-08-06,26.20,25.55,26.55,26.20,26.20,"29,400"
2021-08-05,26.25,26.00,26.55,26.20,26.20,"6,800"
2021-08-04,26.65,25.85,26.60,26.25,26.25,"16,900"
2021-08-03,26.50,26.10,26.90,26.65,26.65,"36,600"
2021-08-02,26.55,26.50,26.55,26.50,26.50,"22,300"
2021-08-01,26.75,26.50,26.90,26.55,26.55,"34,100"
2021-07-31,26.75,26.50,26.90,26.55,26.55,"34,100"
2021-07-30,26.75,26.50,26.90,26.55,26.55,"34,100"
2021-07-29,26.80,26.10,27.00,26.75,26.75,"30,000"
2021-07-28,26.40,26.40,27.00,26.80,26.80,"56,200"
2021-07-27,26.10,26.00,26.50,26.40,26.40,"36,300"
2021-07-26,26.15,26.00,26.50,26.10,26.10,"29,900"
2021-07-25,25.85,26.00,26.50,26.15,26.15,"29,900"
2021-07-24,25.85,26.00,26.50,26.15,26.15,"29,900"
2021-07-23,25.85,26.00,26.50,26.15,26.15,"29,900"
2021-07-22,26.00,25.60,26.00,25.85,25.85,"5,100"
2021-07-21,25.65,25.60,26.00,26.00,26.00,"23,500"
2021-07-20,25.95,25.55,26.50,25.65,25.65,"88,300"
2021-07-19,25.95,25.55,26.50,25.65,25.65,"88,300"
2021-07-18,25.65,25.50,26.25,25.95,25.95,"65,300"
2021-07-17,25.65,25.50,26.25,25.95,25.95,"65,300"
2021-07-16,25.65,25.50,26.25,25.95,25.95,"65,300"
2021-07-15,25.70,25.50,26.00,25.65,25.65,"22,000"
2021-07-14,25.75,25.50,25.75,25.70,25.70,"18,100"
2021-07-13,25.50,25.50,26.40,25.75,25.75,"30,700"
2021-07-12,26.00,25.00,26.30,25.50,25.50,"202,800"
