Date,Open,Low,High,Close,Adj Close,Volume
2018-12-02,193.25,193.00,193.00,193.00,193.00,"1,400"
2018-12-01,193.25,193.00,193.00,193.00,193.00,"1,400"
2018-11-30,193.25,193.00,193.00,193.00,193.00,"1,400"
2018-11-29,192.00,191.00,195.00,193.25,193.25,"8,600"
2018-11-28,190.25,191.00,195.00,192.00,192.00,"2,200"
2018-11-27,188.75,188.50,192.00,190.25,190.25,"4,000"
2018-11-26,188.00,188.50,189.00,188.75,188.75,"1,700"
2018-11-25,188.00,188.00,190.00,188.00,188.00,"46,600"
2018-11-24,188.00,188.00,190.00,188.00,188.00,"46,600"
2018-11-23,188.00,188.00,190.00,188.00,188.00,"46,600"
2018-11-22,188.00,188.00,190.00,188.00,188.00,"13,700"
2018-11-21,188.75,188.00,190.00,188.00,188.00,"4,500"
2018-11-20,189.00,188.00,189.00,188.75,188.75,"2,300"
2018-11-19,190.50,188.00,195.00,189.00,189.00,"2,900"
2018-11-18,192.25,190.00,194.00,190.50,190.50,"6,700"
2018-11-17,192.25,190.00,194.00,190.50,190.50,"6,700"
2018-11-16,192.25,190.00,194.00,190.50,190.50,"6,700"
2018-11-15,192.75,191.00,195.00,192.25,192.25,"3,300"
2018-11-14,194.50,192.00,194.00,192.75,192.75,"1,500"
2018-11-13,199.00,192.00,200.00,194.50,194.50,"8,800"
2018-11-12,192.00,195.00,200.00,199.00,199.00,"1,000"
2018-11-11,191.50,192.00,192.00,192.00,192.00,600
2018-11-10,191.50,192.00,192.00,192.00,192.00,600
2018-11-09,191.50,192.00,192.00,192.00,192.00,600
2018-11-08,190.75,191.00,192.00,191.50,191.50,200
2018-11-07,201.75,190.00,191.00,190.75,190.75,"3,300"
2018-11-06,190.00,191.00,208.00,201.75,201.75,"3,600"
2018-11-05,188.50,190.00,190.00,190.00,190.00,"1,300"
2018-11-04,187.00,188.00,192.00,188.50,188.50,"16,600"
2018-11-03,187.00,188.00,192.00,188.50,188.50,"16,600"
2018-11-02,187.00,188.00,192.00,188.50,188.50,"16,600"
2018-11-01,186.25,187.00,187.00,187.00,187.00,200
2018-10-31,182.50,183.00,188.00,186.25,186.25,"6,700"
2018-10-30,181.75,181.00,185.00,182.50,182.50,900
2018-10-29,178.50,179.00,185.00,181.75,181.75,"2,000"
2018-10-28,179.50,176.00,180.00,178.50,178.50,"1,600"
2018-10-27,179.50,176.00,180.00,178.50,178.50,"1,600"
2018-10-26,179.50,176.00,180.00,178.50,178.50,"1,600"
2018-10-25,180.00,176.00,180.00,179.50,179.50,"1,200"
2018-10-24,181.50,180.00,183.00,180.00,180.00,"41,600"
2018-10-23,184.50,181.00,184.00,181.50,181.50,"12,400"
2018-10-22,187.75,181.00,186.00,184.50,184.50,"20,300"
2018-10-21,186.00,187.00,188.00,187.75,187.75,"8,900"
2018-10-20,186.00,187.00,188.00,187.75,187.75,"8,900"
2018-10-19,186.00,187.00,188.00,187.75,187.75,"8,900"
2018-10-18,186.50,186.00,186.00,186.00,186.00,200
2018-10-17,187.25,185.00,187.00,186.50,186.50,"3,200"
2018-10-16,191.25,186.00,198.00,187.25,187.25,"15,800"
2018-10-15,186.50,186.00,202.00,191.25,191.25,300
2018-10-14,186.25,186.00,200.00,186.50,186.50,"4,600"
2018-10-13,186.25,186.00,200.00,186.50,186.50,"4,600"
2018-10-12,186.25,186.00,200.00,186.50,186.50,"4,600"
2018-10-11,186.75,186.00,188.00,186.25,186.25,"2,100"
2018-10-10,186.00,186.00,187.00,186.75,186.75,500
2018-10-09,186.00,186.00,187.00,186.75,186.75,500
2018-10-08,190.00,186.00,186.00,186.00,186.00,"5,700"
2018-10-07,193.00,190.00,191.00,190.00,190.00,"102,100"
