Date,Open,Low,High,Close,Adj Close,Volume
2021-11-05,28.75,26.50,26.60,26.50,26.50,800
2021-11-04,28.75,28.75,28.75,28.75,28.75,-
2021-11-03,28.75,28.75,28.75,28.75,28.75,-
2021-11-02,29.00,26.10,29.00,28.75,28.75,"2,200"
2021-11-01,29.00,29.00,29.00,29.00,29.00,-
2021-10-31,26.50,29.00,29.00,29.00,29.00,200
2021-10-30,26.50,29.00,29.00,29.00,29.00,200
2021-10-29,26.50,29.00,29.00,29.00,29.00,200
2021-10-28,27.50,26.50,26.50,26.50,26.50,"205,900"
2021-10-27,27.50,27.45,27.50,27.50,27.50,"3,900"
2021-10-26,27.50,27.50,27.50,27.50,27.50,"1,200"
2021-10-25,28.00,27.50,27.50,27.50,27.50,300
2021-10-24,27.50,28.00,28.00,28.00,28.00,900
2021-10-23,27.50,28.00,28.00,28.00,28.00,900
2021-10-22,27.50,28.00,28.00,28.00,28.00,900
2021-10-21,27.50,27.50,27.50,27.50,27.50,-
2021-10-20,28.00,27.50,27.65,27.50,27.50,"1,400"
2021-10-19,28.00,27.50,27.65,27.50,27.50,"1,400"
2021-10-18,28.20,28.00,28.00,28.00,28.00,300
2021-10-17,28.20,28.20,28.20,28.20,28.20,-
2021-10-16,28.20,28.20,28.20,28.20,28.20,-
2021-10-15,28.20,28.20,28.20,28.20,28.20,-
2021-10-14,30.00,28.20,28.20,28.20,28.20,500
2021-10-13,30.00,30.00,30.00,30.00,30.00,-
2021-10-12,30.00,30.00,30.00,30.00,30.00,-
2021-10-11,28.00,30.00,30.00,30.00,30.00,300
2021-10-10,28.00,30.00,30.00,30.00,30.00,300
2021-10-09,28.00,30.00,30.00,30.00,30.00,300
2021-10-08,28.00,30.00,30.00,30.00,30.00,300
2021-10-07,28.00,28.00,28.00,28.00,28.00,-
2021-10-06,30.10,28.00,28.20,28.00,28.00,"19,600"
2021-10-05,30.75,30.00,30.50,30.10,30.10,500
2021-10-04,28.00,30.75,30.75,30.75,30.75,"1,300"
2021-10-03,28.00,28.00,28.00,28.00,28.00,"9,600"
2021-10-02,28.00,28.00,28.00,28.00,28.00,"9,600"
2021-10-01,28.00,28.00,28.00,28.00,28.00,"9,600"
2021-09-30,28.00,28.00,28.00,28.00,28.00,-
2021-09-29,28.00,28.00,28.00,28.00,28.00,-
2021-09-28,28.35,28.00,28.00,28.00,28.00,"3,100"
2021-09-27,27.90,28.00,30.00,28.35,28.35,"2,800"
2021-09-26,27.95,27.90,27.90,27.90,27.90,200
2021-09-25,27.95,27.90,27.90,27.90,27.90,200
2021-09-24,27.95,27.90,27.90,27.90,27.90,200
2021-09-23,27.85,27.70,30.60,27.95,27.95,"10,500"
2021-09-22,28.00,27.70,29.70,27.85,27.85,"20,600"
2021-09-21,28.00,28.00,28.00,28.00,28.00,-
2021-09-20,28.45,27.90,28.45,28.00,28.00,"29,600"
2021-09-19,28.00,28.00,28.50,28.45,28.45,"44,700"
2021-09-18,28.00,28.00,28.50,28.45,28.45,"44,700"
2021-09-17,28.00,28.00,28.50,28.45,28.45,"44,700"
2021-09-16,28.00,28.00,28.00,28.00,28.00,"5,500"
2021-09-15,29.05,28.00,28.00,28.00,28.00,"129,700"
2021-09-14,30.00,28.00,29.70,29.05,29.05,"1,900"
2021-09-13,29.80,29.80,30.00,30.00,30.00,"23,100"
2021-09-12,32.65,29.50,32.50,29.80,29.80,"20,900"
2021-09-11,32.65,29.50,32.50,29.80,29.80,"20,900"
2021-09-10,32.65,29.50,32.50,29.80,29.80,"20,900"
2021-09-09,35.00,32.00,33.00,32.65,32.65,300
2021-09-08,36.00,35.00,35.00,35.00,35.00,100
2021-09-07,36.00,36.00,36.00,36.00,36.00,-
2021-09-06,36.00,36.00,36.00,36.00,36.00,600
2021-09-05,39.95,36.00,36.00,36.00,36.00,"2,000"
2021-09-04,39.95,36.00,36.00,36.00,36.00,"2,000"
2021-09-03,39.95,36.00,36.00,36.00,36.00,"2,000"
2021-09-02,40.00,39.95,39.95,39.95,39.95,600
2021-09-01,40.00,40.00,40.00,40.00,40.00,-
2021-08-31,40.00,40.00,40.00,40.00,40.00,-
2021-08-30,38.55,40.00,40.00,40.00,40.00,500
2021-08-29,38.55,38.55,38.55,38.55,38.55,-
2021-08-28,38.55,38.55,38.55,38.55,38.55,-
2021-08-27,38.55,38.55,38.55,38.55,38.55,-
2021-08-26,38.55,38.55,38.55,38.55,38.55,-
2021-08-25,38.55,38.55,38.55,38.55,38.55,-
2021-08-24,38.55,38.55,38.55,38.55,38.55,-
2021-08-23,38.55,38.55,38.55,38.55,38.55,-
2021-08-22,38.55,38.55,38.55,38.55,38.55,-
2021-08-21,38.55,38.55,38.55,38.55,38.55,-
2021-08-20,38.55,38.55,38.55,38.55,38.55,-
2021-08-19,38.55,38.55,38.55,38.55,38.55,-
2021-08-18,38.55,38.55,38.55,38.55,38.55,-
2021-08-17,38.55,38.55,38.55,38.55,38.55,-
2021-08-16,38.25,38.25,38.70,38.55,38.55,300
2021-08-15,35.40,35.00,38.80,38.25,38.25,"1,400"
2021-08-14,35.40,35.00,38.80,38.25,38.25,"1,400"
2021-08-13,35.40,35.00,38.80,38.25,38.25,"1,400"
2021-08-12,35.40,35.40,35.40,35.40,35.40,-
2021-08-11,32.40,34.65,35.50,35.40,35.40,"1,100"
2021-08-10,32.40,32.40,32.40,32.40,32.40,-
2021-08-09,32.40,32.40,32.40,32.40,32.40,-
2021-08-08,31.85,32.40,32.40,32.40,32.40,"1,400"
2021-08-07,31.85,32.40,32.40,32.40,32.40,"1,400"
2021-08-06,31.85,32.40,32.40,32.40,32.40,"1,400"
2021-08-05,29.75,29.75,32.40,31.85,31.85,500
2021-08-04,29.50,29.75,29.75,29.75,29.75,"4,000"
2021-08-03,29.50,29.50,29.50,29.50,29.50,-
2021-08-02,29.00,29.50,29.50,29.50,29.50,400
2021-08-01,29.50,29.00,29.00,29.00,29.00,600
2021-07-31,29.50,29.00,29.00,29.00,29.00,600
2021-07-30,29.50,29.00,29.00,29.00,29.00,600
2021-07-29,29.50,29.50,29.50,29.50,29.50,800
2021-07-28,29.00,29.50,29.50,29.50,29.50,"1,300"
2021-07-27,29.00,29.00,29.00,29.00,29.00,-
2021-07-26,28.55,29.00,29.00,29.00,29.00,500
2021-07-25,28.00,28.00,30.75,28.55,28.55,"1,500"
2021-07-24,28.00,28.00,30.75,28.55,28.55,"1,500"
2021-07-23,28.00,28.00,30.75,28.55,28.55,"1,500"
2021-07-22,28.00,28.00,28.00,28.00,28.00,-
2021-07-21,28.00,28.00,28.00,28.00,28.00,-
2021-07-20,28.00,28.00,28.00,28.00,28.00,-
2021-07-19,28.00,28.00,28.00,28.00,28.00,-
2021-07-18,28.00,28.00,28.00,28.00,28.00,-
2021-07-17,28.00,28.00,28.00,28.00,28.00,-
2021-07-16,28.00,28.00,28.00,28.00,28.00,-
2021-07-15,28.00,28.00,28.00,28.00,28.00,-
2021-07-14,28.00,28.00,28.00,28.00,28.00,-
2021-07-13,26.00,28.00,28.00,28.00,28.00,500
2021-07-12,26.00,26.00,26.00,26.00,26.00,-
2021-07-11,27.00,26.00,26.00,26.00,26.00,100
2021-07-10,27.00,26.00,26.00,26.00,26.00,100
2021-07-09,27.00,26.00,26.00,26.00,26.00,100
2021-07-08,27.00,27.00,27.00,27.00,27.00,-
2021-07-07,26.00,26.75,27.00,27.00,27.00,"1,377,900"
2021-07-06,26.00,26.00,26.00,26.00,26.00,-
2021-07-05,26.00,26.00,26.00,26.00,26.00,-
2021-07-04,26.00,26.00,26.00,26.00,26.00,-
2021-07-03,26.00,26.00,26.00,26.00,26.00,-
2021-07-02,26.00,26.00,26.00,26.00,26.00,-
2021-07-01,27.00,26.00,26.00,26.00,26.00,500
2021-06-30,27.00,26.75,27.00,27.00,27.00,"2,500,500"
2021-06-29,27.00,27.00,27.00,27.00,27.00,-
2021-06-28,26.75,27.00,27.00,27.00,27.00,100
2021-06-27,26.75,26.75,26.75,26.75,26.75,-
2021-06-26,26.75,26.75,26.75,26.75,26.75,-
2021-06-25,26.75,26.75,26.75,26.75,26.75,-
2021-06-24,26.75,26.75,26.75,26.75,26.75,-
