Date,Open,Low,High,Close,Adj Close,Volume
2009-02-01,3.20,3.15,3.35,3.20,3.20,"35,500"
2009-01-31,3.20,3.15,3.35,3.20,3.20,"35,500"
2009-01-30,3.20,3.15,3.35,3.20,3.20,"35,500"
2009-01-29,3.10,3.15,3.30,3.20,3.20,"3,700"
2009-01-28,3.10,3.10,3.35,3.10,3.10,"10,700"
2009-01-27,3.05,3.10,3.20,3.10,3.10,"7,800"
2009-01-26,3.10,3.00,3.30,3.05,3.05,"10,000"
2009-01-25,3.00,3.00,3.20,3.10,3.10,"10,100"
2009-01-24,3.00,3.00,3.20,3.10,3.10,"10,100"
2009-01-23,3.00,3.00,3.20,3.10,3.10,"10,100"
2009-01-22,3.00,3.00,3.10,3.00,3.00,"60,200"
2009-01-21,3.25,3.00,3.25,3.00,3.00,"4,100"
2009-01-20,3.45,3.25,3.50,3.25,3.25,"22,900"
2009-01-19,3.45,3.25,3.50,3.45,3.45,"10,900"
2009-01-18,3.50,3.35,3.55,3.45,3.45,"5,400"
2009-01-17,3.50,3.35,3.55,3.45,3.45,"5,400"
2009-01-16,3.50,3.35,3.55,3.45,3.45,"5,400"
2009-01-15,3.40,3.40,3.65,3.50,3.50,"57,600"
2009-01-14,3.45,3.20,3.50,3.40,3.40,"4,200"
2009-01-13,3.50,3.15,3.50,3.45,3.45,"65,600"
2009-01-12,3.45,3.30,3.60,3.50,3.50,"34,800"
2009-01-11,3.45,3.15,3.70,3.45,3.45,"23,800"
2009-01-10,3.45,3.15,3.70,3.45,3.45,"23,800"
2009-01-09,3.45,3.15,3.70,3.45,3.45,"23,800"
2009-01-08,3.50,3.30,3.50,3.45,3.45,"21,900"
2009-01-07,3.60,3.30,3.60,3.50,3.50,"22,900"
2009-01-06,3.50,3.55,3.80,3.60,3.60,"15,400"
2009-01-05,3.50,3.40,3.80,3.50,3.50,"24,300"
2009-01-04,3.50,3.50,3.55,3.50,3.50,"3,300"
2009-01-03,3.50,3.50,3.55,3.50,3.50,"3,300"
2009-01-02,3.50,3.50,3.55,3.50,3.50,"3,300"
2009-01-01,3.50,3.50,3.55,3.50,3.50,"9,100"
2008-12-31,3.50,3.50,3.55,3.50,3.50,"9,100"
2008-12-30,3.55,3.50,3.55,3.50,3.50,"1,900"
2008-12-29,3.55,3.50,3.60,3.55,3.55,"9,800"
2008-12-28,3.55,3.55,3.60,3.55,3.55,"7,100"
2008-12-27,3.55,3.55,3.60,3.55,3.55,"7,100"
2008-12-26,3.55,3.55,3.60,3.55,3.55,"7,100"
2008-12-25,3.55,3.55,3.60,3.55,3.55,"7,100"
2008-12-24,3.55,3.55,3.60,3.55,3.55,"7,100"
2008-12-23,3.55,3.55,3.70,3.55,3.55,"14,400"
2008-12-22,3.60,3.50,3.60,3.55,3.55,"5,100"
2008-12-21,3.50,3.55,3.80,3.60,3.60,"7,700"
2008-12-20,3.50,3.55,3.80,3.60,3.60,"7,700"
2008-12-19,3.50,3.55,3.80,3.60,3.60,"7,700"
2008-12-18,3.55,3.40,3.80,3.50,3.50,"8,600"
2008-12-17,3.45,3.50,3.70,3.55,3.55,"5,800"
2008-12-16,3.50,3.30,3.55,3.45,3.45,"34,500"
2008-12-15,3.55,3.40,3.60,3.50,3.50,"8,500"
2008-12-14,3.65,3.50,3.70,3.55,3.55,"23,600"
2008-12-13,3.65,3.50,3.70,3.55,3.55,"23,600"
2008-12-12,3.65,3.50,3.70,3.55,3.55,"23,600"
2008-12-11,3.65,3.50,3.70,3.55,3.55,"23,600"
2008-12-10,3.80,3.50,3.90,3.65,3.65,"7,300"
2008-12-09,3.95,3.70,3.95,3.80,3.80,"13,400"
2008-12-08,4.00,3.70,4.00,3.95,3.95,"50,300"
2008-12-07,4.00,4.00,4.20,4.00,4.00,"25,500"
2008-12-06,4.00,4.00,4.20,4.00,4.00,"25,500"
2008-12-05,4.00,4.00,4.20,4.00,4.00,"25,500"
2008-12-04,4.00,4.00,4.05,4.00,4.00,"33,600"
2008-12-03,4.05,4.00,4.05,4.00,4.00,"7,000"
2008-12-02,4.10,4.05,4.10,4.05,4.05,"7,800"
2008-12-01,3.95,4.05,4.15,4.10,4.10,"4,100"
2008-11-30,4.10,3.70,4.10,3.95,3.95,"36,700"
2008-11-29,4.10,3.70,4.10,3.95,3.95,"36,700"
2008-11-28,4.10,3.70,4.10,3.95,3.95,"36,700"
2008-11-27,4.30,4.00,4.40,4.10,4.10,"5,800"
2008-11-26,4.40,4.30,4.50,4.30,4.30,"8,200"
2008-11-25,4.35,4.25,4.55,4.40,4.40,"5,100"
2008-11-24,4.55,4.25,4.50,4.35,4.35,"30,000"
2008-11-23,4.55,4.50,4.60,4.55,4.55,"11,600"
2008-11-22,4.55,4.50,4.60,4.55,4.55,"11,600"
2008-11-21,4.55,4.50,4.60,4.55,4.55,"11,600"
2008-11-20,4.55,4.50,4.60,4.55,4.55,"12,800"
2008-11-19,4.55,4.40,4.60,4.55,4.55,"12,500"
2008-11-18,4.55,4.50,4.60,4.55,4.55,"15,100"
2008-11-17,4.55,4.55,4.60,4.55,4.55,"7,400"
2008-11-16,4.55,4.50,4.75,4.55,4.55,"21,000"
2008-11-15,4.55,4.50,4.75,4.55,4.55,"21,000"
2008-11-14,4.55,4.50,4.75,4.55,4.55,"21,000"
2008-11-13,4.55,4.50,4.75,4.55,4.55,"16,100"
2008-11-12,4.60,4.50,4.70,4.55,4.55,"25,900"
2008-11-11,4.55,4.50,4.80,4.60,4.60,"41,600"
2008-11-10,4.55,4.25,5.00,4.55,4.55,"37,300"
2008-11-09,4.45,4.45,4.70,4.55,4.55,"109,400"
2008-11-08,4.45,4.45,4.70,4.55,4.55,"109,400"
2008-11-07,4.45,4.45,4.70,4.55,4.55,"109,400"
2008-11-06,4.15,4.20,4.55,4.45,4.45,"56,700"
2008-11-05,4.15,4.20,4.55,4.45,4.45,"56,700"
2008-11-04,3.95,3.95,4.30,4.15,4.15,"25,700"
2008-11-03,3.90,3.90,4.00,3.95,3.95,"55,300"
2008-11-02,3.90,3.85,4.20,3.90,3.90,"66,600"
2008-11-01,3.90,3.85,4.20,3.90,3.90,"66,600"
2008-10-31,3.90,3.85,4.20,3.90,3.90,"66,600"
2008-10-30,3.85,3.90,4.00,3.90,3.90,"7,700"
2008-10-29,3.90,3.75,3.95,3.85,3.85,"28,500"
2008-10-28,3.95,3.90,3.95,3.90,3.90,"13,500"
2008-10-27,3.90,3.90,4.20,3.95,3.95,"36,200"
2008-10-26,3.95,3.90,4.00,3.90,3.90,"5,900"
2008-10-25,3.95,3.90,4.00,3.90,3.90,"5,900"
2008-10-24,3.95,3.90,4.00,3.90,3.90,"5,900"
2008-10-23,3.90,3.90,4.00,3.95,3.95,"8,300"
2008-10-22,3.75,3.80,4.00,3.90,3.90,"29,700"
2008-10-21,3.80,3.70,3.80,3.75,3.75,"18,700"
2008-10-20,3.85,3.75,3.90,3.80,3.80,"25,100"
2008-10-19,3.85,3.75,3.90,3.80,3.80,"25,100"
2008-10-18,3.85,3.75,3.90,3.80,3.80,"25,100"
2008-10-17,3.85,3.75,3.90,3.80,3.80,"25,100"
2008-10-16,4.00,3.70,4.00,3.85,3.85,"13,000"
2008-10-15,4.20,3.85,4.20,4.00,4.00,"48,200"
2008-10-14,4.40,4.00,4.40,4.20,4.20,"9,800"
2008-10-13,4.60,4.40,4.60,4.40,4.40,"83,900"
2008-10-12,4.65,4.45,4.80,4.60,4.60,"29,000"
2008-10-11,4.65,4.45,4.80,4.60,4.60,"29,000"
2008-10-10,4.65,4.45,4.80,4.60,4.60,"29,000"
2008-10-09,4.65,4.45,4.80,4.60,4.60,"29,000"
2008-10-08,4.75,4.60,4.80,4.65,4.65,"58,600"
2008-10-07,4.80,4.75,4.85,4.75,4.75,"31,500"
2008-10-06,4.75,4.75,4.85,4.80,4.80,"10,800"
2008-10-05,4.75,4.70,4.85,4.75,4.75,"31,000"
2008-10-04,4.75,4.70,4.85,4.75,4.75,"31,000"
2008-10-03,4.75,4.70,4.85,4.75,4.75,"31,000"
2008-10-02,4.65,4.65,4.85,4.75,4.75,"40,600"
2008-10-01,4.75,4.65,4.80,4.65,4.65,"16,900"
2008-09-30,4.75,4.65,4.80,4.65,4.65,"16,900"
2008-09-29,4.65,4.60,4.80,4.75,4.75,"42,500"
2008-09-28,4.85,4.60,4.75,4.65,4.65,"20,300"
2008-09-27,4.85,4.60,4.75,4.65,4.65,"20,300"
2008-09-26,4.85,4.60,4.75,4.65,4.65,"20,300"
2008-09-25,4.60,4.50,4.95,4.85,4.85,"51,300"
2008-09-24,4.65,4.30,4.80,4.60,4.60,"23,800"
2008-09-23,4.50,4.60,4.70,4.65,4.65,"46,500"
2008-09-22,4.60,4.50,4.70,4.50,4.50,"14,200"
2008-09-21,4.40,4.45,4.70,4.60,4.60,"32,700"
2008-09-20,4.40,4.45,4.70,4.60,4.60,"32,700"
2008-09-19,4.40,4.45,4.70,4.60,4.60,"32,700"
2008-09-18,4.45,4.20,4.50,4.40,4.40,"22,000"
2008-09-17,4.70,4.30,4.50,4.45,4.45,"31,800"
2008-09-16,4.80,4.50,4.85,4.70,4.70,"50,200"
2008-09-15,4.95,4.50,5.00,4.80,4.80,"20,900"
2008-09-14,4.95,4.80,5.00,4.95,4.95,"44,200"
2008-09-13,4.95,4.80,5.00,4.95,4.95,"44,200"
2008-09-12,4.95,4.80,5.00,4.95,4.95,"44,200"
2008-09-11,5.00,4.80,5.00,4.95,4.95,"31,800"
2008-09-10,5.00,4.90,5.05,5.00,5.00,"107,300"
2008-09-09,5.00,5.00,5.10,5.00,5.00,"21,700"
2008-09-08,5.05,5.00,5.15,5.00,5.00,"32,900"
2008-09-07,5.00,5.00,5.10,5.05,5.05,"28,100"
2008-09-06,5.00,5.00,5.10,5.05,5.05,"28,100"
2008-09-05,5.00,5.00,5.10,5.05,5.05,"28,100"
2008-09-04,5.00,5.00,5.10,5.00,5.00,"24,800"
2008-09-03,5.00,5.00,5.10,5.00,5.00,"13,700"
2008-09-02,5.10,5.00,5.10,5.00,5.00,"26,400"
2008-09-01,5.15,5.00,5.20,5.10,5.10,"30,200"
2008-08-31,5.15,5.00,5.20,5.15,5.15,"18,300"
2008-08-30,5.15,5.00,5.20,5.15,5.15,"18,300"
2008-08-29,5.15,5.00,5.20,5.15,5.15,"18,300"
2008-08-28,5.15,5.00,5.20,5.15,5.15,"30,500"
2008-08-27,5.10,5.00,5.30,5.15,5.15,"110,600"
2008-08-26,5.20,5.00,5.20,5.10,5.10,"25,300"
2008-08-25,5.15,5.15,5.30,5.20,5.20,"34,100"
2008-08-24,5.15,5.15,5.25,5.15,5.15,"44,100"
2008-08-23,5.15,5.15,5.25,5.15,5.15,"44,100"
2008-08-22,5.15,5.15,5.25,5.15,5.15,"44,100"
2008-08-21,5.15,5.15,5.25,5.15,5.15,"43,800"
2008-08-20,5.15,5.10,5.25,5.15,5.15,"21,000"
2008-08-19,5.05,5.00,5.20,5.15,5.15,"140,900"
2008-08-18,5.00,5.00,5.20,5.05,5.05,"31,500"
2008-08-17,4.90,4.90,5.15,5.00,5.00,"29,200"
2008-08-16,4.90,4.90,5.15,5.00,5.00,"29,200"
2008-08-15,4.90,4.90,5.15,5.00,5.00,"29,200"
2008-08-14,4.80,4.80,5.10,4.90,4.90,"69,600"
2008-08-13,4.80,4.50,5.00,4.80,4.80,"30,200"
2008-08-12,4.95,4.50,5.00,4.80,4.80,"27,000"
2008-08-11,5.00,4.70,5.00,4.95,4.95,"18,600"
