Date,Open,Low,High,Close,Adj Close,Volume
2009-02-01,27.75,27.50,28.00,27.75,27.75,"46,500"
2009-01-31,27.75,27.50,28.00,27.75,27.75,"46,500"
2009-01-30,27.75,27.50,28.00,27.75,27.75,"46,500"
2009-01-29,27.50,27.25,28.00,27.75,27.75,"32,600"
2009-01-28,27.00,27.25,27.75,27.50,27.50,"5,300"
2009-01-27,27.00,27.00,27.75,27.00,27.00,"11,700"
2009-01-26,27.50,26.50,27.75,27.00,27.00,"27,100"
2009-01-25,27.75,27.50,28.25,27.50,27.50,"27,500"
2009-01-24,27.75,27.50,28.25,27.50,27.50,"27,500"
2009-01-23,27.75,27.50,28.25,27.50,27.50,"27,500"
2009-01-22,27.50,27.50,28.25,27.75,27.75,"14,600"
2009-01-21,28.00,26.50,28.50,27.50,27.50,"23,800"
2009-01-20,28.00,27.50,28.50,28.00,28.00,"29,800"
2009-01-19,28.50,27.50,29.50,28.00,28.00,"11,700"
2009-01-18,29.25,28.00,29.50,28.50,28.50,"37,800"
2009-01-17,29.25,28.00,29.50,28.50,28.50,"37,800"
2009-01-16,29.25,28.00,29.50,28.50,28.50,"37,800"
2009-01-15,29.00,29.00,29.50,29.25,29.25,"14,000"
2009-01-14,29.00,29.00,29.75,29.00,29.00,"16,400"
2009-01-13,29.00,28.50,29.75,29.00,29.00,"20,800"
2009-01-12,28.00,28.00,30.00,29.00,29.00,"77,600"
2009-01-11,29.00,27.50,29.00,28.00,28.00,"63,500"
2009-01-10,29.00,27.50,29.00,28.00,28.00,"63,500"
2009-01-09,29.00,27.50,29.00,28.00,28.00,"63,500"
2009-01-08,29.50,28.00,30.00,29.00,29.00,"84,900"
2009-01-07,29.75,28.75,30.50,29.50,29.50,"86,700"
2009-01-06,29.00,29.00,30.25,29.75,29.75,"21,500"
2009-01-05,28.75,29.00,29.50,29.00,29.00,"12,500"
2009-01-04,28.50,28.50,29.25,28.75,28.75,"12,900"
2009-01-03,28.50,28.50,29.25,28.75,28.75,"12,900"
2009-01-02,28.50,28.50,29.25,28.75,28.75,"12,900"
2009-01-01,28.00,27.00,29.25,28.50,28.50,"70,400"
2008-12-31,28.00,27.00,29.25,28.50,28.50,"70,400"
2008-12-28,27.75,27.25,28.50,28.00,28.00,"21,300"
2008-12-27,27.75,27.25,28.50,28.00,28.00,"21,300"
2008-12-26,27.75,27.25,28.50,28.00,28.00,"21,300"
2008-12-25,27.75,27.25,28.50,28.00,28.00,"21,300"
2008-12-24,27.75,27.25,28.50,28.00,28.00,"21,300"
2008-12-23,27.25,27.25,29.00,27.75,27.75,"18,600"
2008-12-22,28.00,26.00,27.50,27.25,27.25,"29,900"
2008-12-21,27.25,28.00,29.00,28.00,28.00,"36,000"
2008-12-20,27.25,28.00,29.00,28.00,28.00,"36,000"
2008-12-19,27.25,28.00,29.00,28.00,28.00,"36,000"
2008-12-18,27.75,25.50,28.00,27.25,27.25,"68,900"
2008-12-17,27.75,26.75,28.50,27.75,27.75,"66,900"
2008-12-16,26.75,27.00,29.00,27.75,27.75,"36,700"
2008-12-15,25.25,25.75,27.75,26.75,26.75,"13,900"
2008-12-14,25.25,25.00,27.00,25.25,25.25,"48,400"
2008-12-13,25.25,25.00,27.00,25.25,25.25,"48,400"
2008-12-12,25.25,25.00,27.00,25.25,25.25,"48,400"
2008-12-11,25.25,25.00,27.00,25.25,25.25,"48,400"
2008-12-10,25.00,25.00,26.00,25.25,25.25,"113,300"
2008-12-09,24.75,25.00,25.50,25.00,25.00,"31,100"
2008-12-08,23.75,24.00,25.00,24.75,24.75,"29,700"
2008-12-07,24.00,23.25,24.00,23.75,23.75,"50,100"
2008-12-06,24.00,23.25,24.00,23.75,23.75,"50,100"
2008-12-05,24.00,23.25,24.00,23.75,23.75,"50,100"
2008-12-04,24.50,22.50,24.50,24.00,24.00,"51,700"
2008-12-03,25.25,24.50,25.00,24.50,24.50,"25,900"
2008-12-02,26.50,25.00,26.50,25.25,25.25,"59,700"
2008-12-01,27.00,26.00,26.75,26.50,26.50,"43,000"
2008-11-30,28.00,26.75,28.00,27.00,27.00,"70,600"
2008-11-29,28.00,26.75,28.00,27.00,27.00,"70,600"
2008-11-28,28.00,26.75,28.00,27.00,27.00,"70,600"
2008-11-27,28.00,27.50,28.50,28.00,28.00,"34,300"
2008-11-26,27.75,27.00,28.50,28.00,28.00,"22,800"
2008-11-25,28.00,27.50,29.00,27.75,27.75,"75,300"
2008-11-24,28.25,27.25,29.00,28.00,28.00,"55,800"
2008-11-23,28.50,28.00,28.50,28.25,28.25,"49,400"
2008-11-22,28.50,28.00,28.50,28.25,28.25,"49,400"
2008-11-21,28.50,28.00,28.50,28.25,28.25,"49,400"
2008-11-20,28.25,28.00,29.00,28.50,28.50,"49,700"
2008-11-19,29.25,28.00,29.25,28.25,28.25,"101,900"
2008-11-18,29.25,29.00,29.50,29.25,29.25,"44,800"
