Date,Open,Low,High,Close,Adj Close,Volume
2009-02-01,140.00,140.00,143.00,140.00,140.00,"6,900"
2009-01-31,140.00,140.00,143.00,140.00,140.00,"6,900"
2009-01-30,140.00,140.00,143.00,140.00,140.00,"6,900"
2009-01-29,140.00,140.00,141.00,140.00,140.00,"2,900"
2009-01-28,140.00,139.00,143.00,140.00,140.00,"16,300"
2009-01-27,140.00,140.00,141.00,140.00,140.00,"3,800"
2009-01-26,139.00,140.00,141.00,140.00,140.00,"5,600"
2009-01-25,139.00,139.00,140.00,139.00,139.00,"8,900"
2009-01-24,139.00,139.00,140.00,139.00,139.00,"8,900"
2009-01-23,139.00,139.00,140.00,139.00,139.00,"8,900"
2009-01-21,143.00,140.00,143.00,141.00,141.00,"5,100"
2009-01-20,143.00,142.00,144.00,143.00,143.00,"27,300"
2009-01-19,144.00,143.00,145.00,143.00,143.00,"72,300"
2009-01-18,144.00,144.00,145.00,144.00,144.00,"4,100"
2009-01-17,144.00,144.00,145.00,144.00,144.00,"4,100"
2009-01-16,144.00,144.00,145.00,144.00,144.00,"4,100"
2009-01-15,145.00,144.00,146.00,144.00,144.00,"4,600"
2009-01-14,144.00,144.00,146.00,145.00,145.00,"39,300"
2009-01-08,145.00,143.00,147.00,144.00,144.00,"4,900"
2009-01-07,144.00,144.00,146.00,145.00,145.00,"33,200"
2009-01-05,145.00,143.00,146.00,145.00,145.00,"3,100"
2009-01-04,144.00,145.00,146.00,145.00,145.00,"2,800"
2009-01-03,144.00,145.00,146.00,145.00,145.00,"2,800"
2009-01-02,144.00,145.00,146.00,145.00,145.00,"2,800"
2008-12-28,141.00,142.00,145.00,142.00,142.00,"1,800"
2008-12-27,141.00,142.00,145.00,142.00,142.00,"1,800"
2008-12-26,141.00,142.00,145.00,142.00,142.00,"1,800"
2008-12-25,141.00,142.00,145.00,142.00,142.00,"1,800"
2008-12-24,141.00,142.00,145.00,142.00,142.00,"1,800"
2008-12-23,141.00,140.00,144.00,141.00,141.00,"13,800"
2008-12-22,135.00,136.00,143.00,141.00,141.00,"10,300"
2008-12-21,142.00,135.00,141.00,135.00,135.00,"12,700"
2008-12-20,142.00,135.00,141.00,135.00,135.00,"12,700"
2008-12-19,142.00,135.00,141.00,135.00,135.00,"12,700"
2008-12-18,142.00,140.00,145.00,142.00,142.00,"12,100"
2008-12-17,142.00,142.00,145.00,142.00,142.00,"7,800"
2008-12-16,141.00,141.00,143.00,142.00,142.00,"5,600"
2008-12-15,139.00,138.00,144.00,141.00,141.00,"6,400"
2008-12-14,135.00,136.00,142.00,139.00,139.00,"2,600"
2008-12-13,135.00,136.00,142.00,139.00,139.00,"2,600"
2008-12-12,135.00,136.00,142.00,139.00,139.00,"2,600"
2008-12-11,135.00,136.00,142.00,139.00,139.00,"2,600"
2008-12-10,134.00,135.00,136.00,135.00,135.00,"8,000"
2008-12-09,135.00,133.00,136.00,134.00,134.00,"22,700"
2008-12-08,132.00,135.00,135.00,135.00,135.00,"1,000"
2008-12-07,132.00,132.00,132.00,132.00,132.00,800
2008-12-06,132.00,132.00,132.00,132.00,132.00,800
2008-12-05,132.00,132.00,132.00,132.00,132.00,800
2008-12-04,132.00,132.00,133.00,132.00,132.00,"6,800"
2008-12-03,133.00,132.00,133.00,132.00,132.00,500
2008-12-02,137.00,132.00,138.00,133.00,133.00,"12,300"
2008-12-01,138.00,135.00,138.00,137.00,137.00,"1,700"
2008-11-30,139.00,135.00,140.00,138.00,138.00,"2,700"
2008-11-29,139.00,135.00,140.00,138.00,138.00,"2,700"
2008-11-28,139.00,135.00,140.00,138.00,138.00,"2,700"
2008-11-27,141.00,135.00,143.00,139.00,139.00,"10,800"
2008-11-26,141.00,140.00,142.00,141.00,141.00,"3,400"
2008-11-25,142.00,140.00,143.00,141.00,141.00,"6,400"
2008-11-24,143.00,141.00,144.00,142.00,142.00,"36,300"
2008-11-23,142.00,143.00,145.00,143.00,143.00,"36,300"
2008-11-22,142.00,143.00,145.00,143.00,143.00,"36,300"
2008-11-21,142.00,143.00,145.00,143.00,143.00,"36,300"
2008-11-20,143.00,141.00,150.00,142.00,142.00,"15,100"
2008-11-19,142.00,142.00,149.00,143.00,143.00,"15,600"
2008-11-18,141.00,142.00,142.00,142.00,142.00,"41,100"
2008-11-17,142.00,141.00,143.00,141.00,141.00,"4,800"
2008-11-16,143.00,142.00,143.00,142.00,142.00,"143,200"
2008-11-15,143.00,142.00,143.00,142.00,142.00,"143,200"
2008-11-14,143.00,142.00,143.00,142.00,142.00,"143,200"
2008-11-13,143.00,140.00,145.00,143.00,143.00,"15,400"
2008-11-12,149.00,142.00,145.00,143.00,143.00,"32,700"
2008-11-11,150.00,149.00,154.00,149.00,149.00,"42,200"
2008-11-10,141.00,148.00,155.00,150.00,150.00,"16,800"
2008-11-09,139.00,135.00,150.00,141.00,141.00,"46,700"
2008-11-08,139.00,135.00,150.00,141.00,141.00,"46,700"
2008-11-07,139.00,135.00,150.00,141.00,141.00,"46,700"
2008-11-06,131.00,135.00,144.00,139.00,139.00,"30,800"
2008-11-05,131.00,135.00,144.00,139.00,139.00,"30,800"
