Date,Open,Low,High,Close,Adj Close,Volume
2009-01-26,6.00,5.90,6.00,5.95,5.95,"12,400"
2009-01-21,6.00,6.00,6.00,6.00,6.00,"2,300"
2009-01-20,5.90,6.00,6.00,6.00,6.00,"1,100"
2009-01-18,5.95,5.90,6.00,5.95,5.95,"11,700"
2009-01-17,5.95,5.90,6.00,5.95,5.95,"11,700"
2009-01-16,5.95,5.90,6.00,5.95,5.95,"11,700"
2009-01-15,6.00,5.90,6.00,5.95,5.95,"3,200"
2009-01-14,5.90,6.00,6.00,6.00,6.00,"6,100"
2009-01-04,6.00,5.70,5.80,5.75,5.75,"21,100"
2009-01-03,6.00,5.70,5.80,5.75,5.75,"21,100"
2009-01-02,6.00,5.70,5.80,5.75,5.75,"21,100"
2008-12-28,5.95,6.00,6.00,6.00,6.00,600
2008-12-27,5.95,6.00,6.00,6.00,6.00,600
2008-12-26,5.95,6.00,6.00,6.00,6.00,600
2008-12-25,5.95,6.00,6.00,6.00,6.00,600
2008-12-24,5.95,6.00,6.00,6.00,6.00,600
2008-12-23,6.00,5.80,6.00,5.95,5.95,"5,500"
2008-12-21,6.00,6.00,6.10,6.05,6.05,700
2008-12-20,6.00,6.00,6.10,6.05,6.05,700
2008-12-19,6.00,6.00,6.10,6.05,6.05,700
2008-12-15,6.50,6.00,6.50,6.05,6.05,"9,900"
2008-12-14,6.10,6.50,6.50,6.50,6.50,"8,700"
2008-12-13,6.10,6.50,6.50,6.50,6.50,"8,700"
2008-12-12,6.10,6.50,6.50,6.50,6.50,"8,700"
2008-12-11,6.10,6.50,6.50,6.50,6.50,"8,700"
2008-12-10,6.10,6.10,6.10,6.10,6.10,100
2008-12-09,6.00,6.10,6.10,6.10,6.10,"9,400"
2008-12-08,6.05,6.00,6.10,6.00,6.00,"4,400"
2008-12-07,6.10,6.00,6.10,6.05,6.05,"16,400"
2008-12-06,6.10,6.00,6.10,6.05,6.05,"16,400"
2008-12-05,6.10,6.00,6.10,6.05,6.05,"16,400"
2008-12-03,6.10,6.10,6.10,6.10,6.10,400
2008-12-02,5.95,6.10,6.10,6.10,6.10,400
2008-12-01,5.90,5.90,6.00,5.95,5.95,"13,200"
2008-11-30,6.00,5.50,6.35,5.90,5.90,"1,000"
2008-11-29,6.00,5.50,6.35,5.90,5.90,"1,000"
2008-11-28,6.00,5.50,6.35,5.90,5.90,"1,000"
2008-11-27,6.00,6.00,6.00,6.00,6.00,"1,500"
2008-11-26,6.45,6.00,6.50,6.00,6.00,"64,800"
2008-11-25,6.50,6.20,6.50,6.45,6.45,"23,200"
2008-11-24,6.35,6.50,6.50,6.50,6.50,"1,000"
2008-11-23,6.35,6.00,6.50,6.35,6.35,"3,600"
2008-11-22,6.35,6.00,6.50,6.35,6.35,"3,600"
2008-11-21,6.35,6.00,6.50,6.35,6.35,"3,600"
2008-11-20,6.80,6.20,6.90,6.35,6.35,"40,200"
2008-11-19,6.55,6.80,6.80,6.80,6.80,"6,400"
2008-11-18,6.80,6.50,6.80,6.55,6.55,"7,200"
2008-11-17,6.80,6.70,6.90,6.80,6.80,"16,500"
2008-11-16,6.90,6.80,6.90,6.80,6.80,"6,900"
2008-11-15,6.90,6.80,6.90,6.80,6.80,"6,900"
2008-11-14,6.90,6.80,6.90,6.80,6.80,"6,900"
2008-11-13,6.90,6.85,7.00,6.90,6.90,"19,300"
2008-11-11,6.65,6.70,7.00,6.75,6.75,"54,700"
2008-11-10,6.70,6.60,6.70,6.65,6.65,"15,000"
2008-11-09,6.50,6.50,7.15,6.70,6.70,"76,000"
2008-11-08,6.50,6.50,7.15,6.70,6.70,"76,000"
2008-11-07,6.50,6.50,7.15,6.70,6.70,"76,000"
2008-11-06,5.95,6.50,6.50,6.50,6.50,"13,100"
2008-11-05,5.95,6.50,6.50,6.50,6.50,"13,100"
2008-11-04,5.60,5.85,6.05,5.95,5.95,"10,300"
2008-11-03,5.10,5.60,5.60,5.60,5.60,200
2008-11-02,5.00,5.00,5.50,5.10,5.10,"4,600"
2008-11-01,5.00,5.00,5.50,5.10,5.10,"4,600"
2008-10-31,5.00,5.00,5.50,5.10,5.10,"4,600"
2008-10-30,5.00,5.00,5.00,5.00,5.00,"56,600"
2008-10-26,5.95,5.95,6.00,5.95,5.95,900
2008-10-25,5.95,5.95,6.00,5.95,5.95,900
2008-10-24,5.95,5.95,6.00,5.95,5.95,900
2008-10-22,6.50,6.00,6.50,6.35,6.35,"2,100"
2008-10-21,6.65,6.50,6.70,6.50,6.50,"4,100"
2008-10-20,6.75,6.50,7.00,6.65,6.65,"7,600"
2008-10-19,6.75,6.50,7.00,6.65,6.65,"7,600"
2008-10-18,6.75,6.50,7.00,6.65,6.65,"7,600"
2008-10-17,6.75,6.50,7.00,6.65,6.65,"7,600"
2008-10-16,6.85,6.70,6.90,6.75,6.75,"29,900"
2008-10-14,6.85,6.75,6.90,6.85,6.85,"3,700"
2008-10-13,6.95,6.75,6.95,6.85,6.85,"3,100"
2008-10-12,6.95,6.95,7.10,6.95,6.95,"6,900"
2008-10-11,6.95,6.95,7.10,6.95,6.95,"6,900"
2008-10-10,6.95,6.95,7.10,6.95,6.95,"6,900"
2008-10-09,6.95,6.95,7.10,6.95,6.95,"6,900"
2008-10-06,6.75,7.05,7.15,7.10,7.10,"21,100"
2008-10-05,7.05,6.70,7.50,6.75,6.75,"57,500"
2008-10-04,7.05,6.70,7.50,6.75,6.75,"57,500"
2008-10-03,7.05,6.70,7.50,6.75,6.75,"57,500"
2008-10-02,7.05,7.00,7.50,7.05,7.05,"24,000"
2008-10-01,7.15,7.00,7.50,7.05,7.05,"23,500"
2008-09-30,7.15,7.00,7.50,7.05,7.05,"23,500"
2008-09-28,6.80,6.90,7.25,7.00,7.00,"4,900"
2008-09-27,6.80,6.90,7.25,7.00,7.00,"4,900"
