Date,Open,Low,High,Close,Adj Close,Volume
2009-02-01,12.00,11.00,12.00,11.30,11.30,600
2009-01-31,12.00,11.00,12.00,11.30,11.30,600
2009-01-30,12.00,11.00,12.00,11.30,11.30,600
2009-01-29,12.00,12.00,12.00,12.00,12.00,"3,200"
2009-01-28,12.00,12.00,12.00,12.00,12.00,"2,100"
2009-01-27,12.05,12.00,12.00,12.00,12.00,600
2009-01-26,12.00,12.00,12.10,12.05,12.05,"5,800"
2009-01-25,12.00,12.00,12.00,12.00,12.00,"4,400"
2009-01-24,12.00,12.00,12.00,12.00,12.00,"4,400"
2009-01-23,12.00,12.00,12.00,12.00,12.00,"4,400"
2009-01-22,12.45,12.00,12.45,12.00,12.00,"4,400"
2009-01-19,13.00,12.05,13.00,12.45,12.45,"10,500"
2009-01-18,13.00,13.00,13.00,13.00,13.00,200
2009-01-17,13.00,13.00,13.00,13.00,13.00,200
2009-01-16,13.00,13.00,13.00,13.00,13.00,200
2009-01-13,13.50,13.00,13.00,13.00,13.00,"1,100"
2009-01-11,13.45,13.50,13.50,13.50,13.50,"3,500"
2009-01-10,13.45,13.50,13.50,13.50,13.50,"3,500"
2009-01-09,13.45,13.50,13.50,13.50,13.50,"3,500"
2009-01-08,13.50,13.00,13.50,13.45,13.45,"5,000"
2009-01-07,13.50,13.50,13.50,13.50,13.50,"1,900"
2009-01-06,13.00,13.50,13.50,13.50,13.50,"4,500"
2009-01-05,13.00,13.00,13.00,13.00,13.00,"3,300"
2009-01-01,12.00,13.00,13.00,13.00,13.00,500
2008-12-31,12.00,13.00,13.00,13.00,13.00,500
2008-12-30,12.00,12.00,12.00,12.00,12.00,"4,700"
2008-12-29,12.10,12.00,12.10,12.00,12.00,"25,000"
2008-12-22,12.55,12.00,12.50,12.10,12.10,"2,700"
2008-12-21,12.50,12.50,13.00,12.55,12.55,600
2008-12-20,12.50,12.50,13.00,12.55,12.55,600
2008-12-19,12.50,12.50,13.00,12.55,12.55,600
2008-12-18,12.05,12.50,12.55,12.50,12.50,"1,300"
2008-12-17,12.00,12.00,12.50,12.05,12.05,"1,200"
2008-12-16,12.00,12.00,12.00,12.00,12.00,"2,600"
2008-12-15,12.00,12.00,12.00,12.00,12.00,800
2008-12-10,12.60,12.00,12.50,12.00,12.00,"5,200"
2008-12-08,12.75,12.50,12.75,12.60,12.60,"2,000"
2008-12-04,12.00,12.75,12.75,12.75,12.75,200
2008-12-03,13.00,12.00,12.75,12.00,12.00,"4,100"
2008-12-02,12.75,13.00,13.00,13.00,13.00,200
2008-11-30,12.55,12.55,13.00,12.75,12.75,"9,000"
2008-11-29,12.55,12.55,13.00,12.75,12.75,"9,000"
2008-11-28,12.55,12.55,13.00,12.75,12.75,"9,000"
2008-11-27,13.00,12.50,13.00,12.55,12.55,900
2008-11-26,13.45,13.00,13.00,13.00,13.00,"5,000"
2008-11-25,13.00,13.00,13.50,13.45,13.45,"1,400"
2008-11-24,13.05,13.00,13.00,13.00,13.00,"1,900"
2008-11-23,13.00,13.00,13.10,13.05,13.05,"4,600"
2008-11-22,13.00,13.00,13.10,13.05,13.05,"4,600"
2008-11-21,13.00,13.00,13.10,13.05,13.05,"4,600"
2008-11-20,13.00,13.00,13.00,13.00,13.00,300
2008-11-13,12.70,13.00,13.00,13.00,13.00,"12,300"
